"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"seurat"	0.0535312854838782	0.00331102155684176	Inf	0.0474007596524867	0.0604044193070507
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.0535318221639211	0.0033110440379954	Inf	0.0474012533833435	0.0604050010960201
"BrainAgingSpatialAtlas snRNAseq"	"seurat"	0.288348566603086	0.013766172940265	Inf	0.262134626182849	0.316061066910427
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.0535315989770083	0.00331103468897146	Inf	0.0474010480573201	0.0604047591501083
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.0535315096184667	0.0033110309458514	Inf	0.0474009658498409	0.0604046622809232
"whole cortex"	"seurat"	0.0535314053549085	0.003311026578377	Inf	0.047400869930146	0.0604045492539425
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"scvi"	0.0527570405585758	0.00329934547441129	Inf	0.0466522614320728	0.0596107227625684
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.0527571768002297	0.00329935130683294	Inf	0.0466523865458561	0.0596108707233391
"BrainAgingSpatialAtlas snRNAseq"	"scvi"	0.0835581910138324	0.00523503123490198	Inf	0.0738537337008327	0.0944078375155837
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.0527574192111013	0.00329936168412425	Inf	0.0466526091575226	0.0596111339853278
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.0527572879028682	0.00329935606299178	Inf	0.0466524885740491	0.0596109913825393
"whole cortex"	"scvi"	0.0596205688277071	0.00373930314573646	Inf	0.0526999160227263	0.0673854057707935
