key	method_display	reference	subsample_ref	mean_f1	n_celltypes	total_duration_hrs	total_memory_gb	pareto
subclass	Seurat	whole cortex	100	0.6937154889193902	16	0.10919253220611914	0.032080078125	TRUE
subclass	Seurat	whole cortex	500	0.6889621793323971	16	0.21034420289855071	0.02950067934782608	FALSE
subclass	scVI	whole cortex	100	0.6578207091158986	16	0.04278069645732688	0.0189750339673913	TRUE
subclass	scVI	whole cortex	50	0.6491563413768618	16	0.04306229871175522	0.0189750339673913	FALSE
subclass	Seurat	Single-cell RNA-seq for all cortical  hippocampal regions 10x	100	0.6490433519656899	16	0.10919253220611914	0.032080078125	FALSE
subclass	Seurat	Single-cell RNA-seq for all cortical  hippocampal regions 10x	50	0.6487978514561129	16	0.11932528180354265	0.0498046875	FALSE
subclass	scVI	whole cortex	500	0.6435220153194213	16	0.04751559983896939	0.0189750339673913	FALSE
subclass	Seurat	Single-cell RNA-seq for all cortical  hippocampal regions 10x	500	0.6416753293698513	16	0.21034420289855071	0.02950067934782608	FALSE
subclass	scVI	Single-cell RNA-seq for all cortical  hippocampal regions 10x	100	0.590067743109286	16	0.04278069645732688	0.0189750339673913	TRUE
subclass	scVI	Single-cell RNA-seq for all cortical  hippocampal regions 10x	500	0.5887171627725458	16	0.04751559983896939	0.0189750339673913	FALSE
subclass	scVI	Single-cell RNA-seq for all cortical  hippocampal regions 10x	50	0.588235425861369	16	0.04306229871175522	0.0189750339673913	FALSE
subclass	scVI	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	100	0.5646587511637914	16	0.04278069645732688	0.0189750339673913	TRUE
subclass	Seurat	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	50	0.5559268737663106	16	0.11932528180354265	0.0498046875	FALSE
subclass	scVI	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	500	0.5504088229197392	16	0.04751559983896939	0.0189750339673913	FALSE
subclass	Seurat	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	100	0.5283620930821432	16	0.10919253220611914	0.032080078125	FALSE
subclass	Seurat	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	50	0.527961278788009	16	0.11932528180354265	0.0498046875	FALSE
subclass	Seurat	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	100	0.5227835165790687	16	0.10919253220611914	0.032080078125	FALSE
