"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"seurat"	0.567686373510281	0.0535367283134505	Inf	0.461293168128925	0.668181857060453
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.237228043029946	0.0393417405983004	Inf	0.168812600404253	0.322608824270571
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.590703123025633	0.0522560565332277	Inf	0.4858168689207	0.687937255613842
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.176820579465358	0.0313108062330209	Inf	0.123504644186901	0.246675078613793
"whole cortex"	"seurat"	0.178824279785722	0.0317463042810729	Inf	0.124765792531954	0.249624914219035
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"scvi"	0.114360469159518	0.0220436171476835	Inf	0.0777346317743898	0.165152888680435
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.0797768275365879	0.0158729860006275	Inf	0.0536993431504709	0.116952955846149
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.0616076279259758	0.0124300334616227	Inf	0.0412970910251811	0.090959459948096
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.0811529385934382	0.0161445158428616	Inf	0.0546226472710792	0.118947731341232
"whole cortex"	"scvi"	0.0718568104380597	0.0144051536622755	Inf	0.0482528482684288	0.105724550499201
