method	mean	std	reference	key	model	contrast	FDR
scvi	0.9102066403663082	0.07971937945107367	Dissection Anterior cingulate cortex ACC	class	weighted_f1 ~ study + reference + method + reference:method	reference[Dissection Anterior cingulate cortex ACC]:method[scvi]	2.6350257565892563e-16
seurat	0.8979824052610598	0.07475113228300889	Dissection Anterior cingulate cortex ACC	class	weighted_f1 ~ study + reference + method + reference:method	reference[Dissection Anterior cingulate cortex ACC]:method[scvi]	2.6350257565892563e-16
scvi	0.8699343354020754	0.10712875671943568	Dissection Dorsolateral prefrontal cortex DFC	class	weighted_f1 ~ study + reference + method + reference:method	reference[Dissection Dorsolateral prefrontal cortex DFC]:method[scvi]	1.1911136509432816e-29
seurat	0.8858080651139021	0.0767160864038743	Dissection Dorsolateral prefrontal cortex DFC	class	weighted_f1 ~ study + reference + method + reference:method	reference[Dissection Dorsolateral prefrontal cortex DFC]:method[scvi]	1.1911136509432816e-29
scvi	0.904890111777576	0.0862207734543145	Dissection Primary auditory cortexA1	class	weighted_f1 ~ study + reference + method + reference:method	reference[Dissection Primary auditory cortexA1]:method[scvi]	0.1647359767759457
seurat	0.9026116092407632	0.07476685500474911	Dissection Primary auditory cortexA1	class	weighted_f1 ~ study + reference + method + reference:method	reference[Dissection Primary auditory cortexA1]:method[scvi]	0.1647359767759457
scvi	0.9064825584457223	0.08522843924428447	Dissection Primary somatosensory cortex S1	class	weighted_f1 ~ study + reference + method + reference:method	reference[Dissection Primary somatosensory cortex S1]:method[scvi]	0.0001193604667803
seurat	0.9010812870443666	0.07663686508738765	Dissection Primary somatosensory cortex S1	class	weighted_f1 ~ study + reference + method + reference:method	reference[Dissection Primary somatosensory cortex S1]:method[scvi]	0.0001193604667803
scvi	0.9104570106541594	0.07707294522415675	Dissection Primary visual cortexV1	class	weighted_f1 ~ study + reference + method + reference:method	reference[Dissection Primary visual cortexV1]:method[scvi]	6.421888638047329e-05
seurat	0.9049430628816316	0.07728335485165848	Dissection Primary visual cortexV1	class	weighted_f1 ~ study + reference + method + reference:method	reference[Dissection Primary visual cortexV1]:method[scvi]	6.421888638047329e-05
scvi	0.916530075649629	0.0733112687503094	Human Multiple Cortical Areas SMART-seq	class	weighted_f1 ~ study + reference + method + reference:method	reference[Human Multiple Cortical Areas SMART-seq]:method[scvi]	3.261608513710476e-146
seurat	0.8799163956740315	0.08260051036323285	Human Multiple Cortical Areas SMART-seq	class	weighted_f1 ~ study + reference + method + reference:method	reference[Human Multiple Cortical Areas SMART-seq]:method[scvi]	3.261608513710476e-146
scvi	0.9094538408998613	0.0807403997896032	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	class	weighted_f1 ~ study + reference + method + reference:method	reference[Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD]:method[scvi]	2.6027472181694222e-08
seurat	0.9019072597737663	0.07123584190864661	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	class	weighted_f1 ~ study + reference + method + reference:method	reference[Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD]:method[scvi]	2.6027472181694222e-08
scvi	0.9076108851162268	0.08338424928604847	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	class	weighted_f1 ~ study + reference + method + reference:method	reference[Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD]:method[scvi]	1.1002467664659485e-29
seurat	0.891544605701733	0.07420851181457196	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	class	weighted_f1 ~ study + reference + method + reference:method	reference[Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD]:method[scvi]	1.1002467664659485e-29
scvi	0.9058909644179403	0.08682309031884827	angular gyrus	class	weighted_f1 ~ study + reference + method + reference:method	reference[angular gyrus]:method[scvi]	0.9999999999999956
seurat	0.9057035706081664	0.07417553490779774	angular gyrus	class	weighted_f1 ~ study + reference + method + reference:method	reference[angular gyrus]:method[scvi]	0.9999999999999956
scvi	0.9102066403663082	0.07971937945107345	anterior cingulate cortex	class	weighted_f1 ~ study + reference + method + reference:method	reference[anterior cingulate cortex]:method[scvi]	2.6350257565892563e-16
seurat	0.8979824052610598	0.07475113228300888	anterior cingulate cortex	class	weighted_f1 ~ study + reference + method + reference:method	reference[anterior cingulate cortex]:method[scvi]	2.6350257565892563e-16
scvi	0.777412110429601	0.13106689317836026	anterior cingulate gyrus	class	weighted_f1 ~ study + reference + method + reference:method	reference[anterior cingulate gyrus]:method[scvi]	0.0
seurat	0.8357261885196207	0.12294067574894142	anterior cingulate gyrus	class	weighted_f1 ~ study + reference + method + reference:method	reference[anterior cingulate gyrus]:method[scvi]	0.0
scvi	0.9098910637669277	0.08066492484750477	dorsolateral prefrontal cortex	class	weighted_f1 ~ study + reference + method + reference:method	reference[dorsolateral prefrontal cortex]:method[scvi]	1.3258283530298046e-09
seurat	0.9021750103203944	0.07035285618721969	dorsolateral prefrontal cortex	class	weighted_f1 ~ study + reference + method + reference:method	reference[dorsolateral prefrontal cortex]:method[scvi]	1.3258283530298046e-09
scvi	0.9075314629417187	0.08434386203130756	middle temporal gyrus	class	weighted_f1 ~ study + reference + method + reference:method	reference[middle temporal gyrus]:method[scvi]	0.0
seurat	0.8399787047460909	0.10829567872575276	middle temporal gyrus	class	weighted_f1 ~ study + reference + method + reference:method	reference[middle temporal gyrus]:method[scvi]	0.0
scvi	0.9058074957922851	0.0856908553293653	primary auditory cortex	class	weighted_f1 ~ study + reference + method + reference:method	reference[primary auditory cortex]:method[scvi]	1.2829269195321917e-132
seurat	0.8707853178979057	0.10334104583726453	primary auditory cortex	class	weighted_f1 ~ study + reference + method + reference:method	reference[primary auditory cortex]:method[scvi]	1.2829269195321917e-132
scvi	0.8804928426727735	0.08006099938083065	primary motor cortex	class	weighted_f1 ~ study + reference + method + reference:method	reference[primary motor cortex]:method[scvi]	0.000292979876312
seurat	0.8863913013619321	0.09117489359146194	primary motor cortex	class	weighted_f1 ~ study + reference + method + reference:method	reference[primary motor cortex]:method[scvi]	0.000292979876312
scvi	0.9090310618050068	0.08143242106190213	primary somatosensory cortex	class	weighted_f1 ~ study + reference + method + reference:method	reference[primary somatosensory cortex]:method[scvi]	3.7210108709814923e-268
seurat	0.8588179818473972	0.09399034691485829	primary somatosensory cortex	class	weighted_f1 ~ study + reference + method + reference:method	reference[primary somatosensory cortex]:method[scvi]	3.7210108709814923e-268
scvi	0.9123243227672422	0.07595166492331	primary visual cortex	class	weighted_f1 ~ study + reference + method + reference:method	reference[primary visual cortex]:method[scvi]	2.5754379915975565e-231
seurat	0.8653706302332166	0.09298721924307497	primary visual cortex	class	weighted_f1 ~ study + reference + method + reference:method	reference[primary visual cortex]:method[scvi]	2.5754379915975565e-231
scvi	0.9098981247781627	0.08167348202571047	whole cortex	class	weighted_f1 ~ study + reference + method + reference:method	reference[whole cortex]:method[scvi]	0.0
seurat	0.8318568338817954	0.11500777077451171	whole cortex	class	weighted_f1 ~ study + reference + method + reference:method	reference[whole cortex]:method[scvi]	0.0
scvi	0.9546550369158394	0.07685826696588224	Dissection Anterior cingulate cortex ACC	family	weighted_f1 ~ study + reference + method + reference:method	reference[Dissection Anterior cingulate cortex ACC]:method[scvi]	8.683651207570073e-15
seurat	0.9319708385015154	0.08105125995316165	Dissection Anterior cingulate cortex ACC	family	weighted_f1 ~ study + reference + method + reference:method	reference[Dissection Anterior cingulate cortex ACC]:method[scvi]	8.683651207570073e-15
scvi	0.9128158513753446	0.11117012111282522	Dissection Dorsolateral prefrontal cortex DFC	family	weighted_f1 ~ study + reference + method + reference:method	reference[Dissection Dorsolateral prefrontal cortex DFC]:method[scvi]	1.5479145818588412e-25
seurat	0.9241812663172798	0.08282324983692682	Dissection Dorsolateral prefrontal cortex DFC	family	weighted_f1 ~ study + reference + method + reference:method	reference[Dissection Dorsolateral prefrontal cortex DFC]:method[scvi]	1.5479145818588412e-25
scvi	0.95167880754827	0.08482691113393247	Dissection Primary auditory cortexA1	family	weighted_f1 ~ study + reference + method + reference:method	reference[Dissection Primary auditory cortexA1]:method[scvi]	0.0044827728994919
seurat	0.9381824304061113	0.07846376677878927	Dissection Primary auditory cortexA1	family	weighted_f1 ~ study + reference + method + reference:method	reference[Dissection Primary auditory cortexA1]:method[scvi]	0.0044827728994919
scvi	0.9534336271890693	0.08134975598861457	Dissection Primary somatosensory cortex S1	family	weighted_f1 ~ study + reference + method + reference:method	reference[Dissection Primary somatosensory cortex S1]:method[scvi]	8.931599144164506e-11
seurat	0.9331039779378164	0.08281417951851767	Dissection Primary somatosensory cortex S1	family	weighted_f1 ~ study + reference + method + reference:method	reference[Dissection Primary somatosensory cortex S1]:method[scvi]	8.931599144164506e-11
scvi	0.956884681897603	0.07320506377745577	Dissection Primary visual cortexV1	family	weighted_f1 ~ study + reference + method + reference:method	reference[Dissection Primary visual cortexV1]:method[scvi]	0.0002336278547741
seurat	0.941749160932757	0.07867146674438086	Dissection Primary visual cortexV1	family	weighted_f1 ~ study + reference + method + reference:method	reference[Dissection Primary visual cortexV1]:method[scvi]	0.0002336278547741
scvi	0.9577259031128356	0.06262416248965391	Human Multiple Cortical Areas SMART-seq	family	weighted_f1 ~ study + reference + method + reference:method	reference[Human Multiple Cortical Areas SMART-seq]:method[scvi]	0.271302688908585
seurat	0.9474156483955297	0.06817146702788375	Human Multiple Cortical Areas SMART-seq	family	weighted_f1 ~ study + reference + method + reference:method	reference[Human Multiple Cortical Areas SMART-seq]:method[scvi]	0.271302688908585
scvi	0.9547084093680196	0.07825747308974265	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	family	weighted_f1 ~ study + reference + method + reference:method	reference[Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD]:method[scvi]	1.5271825325765724e-05
seurat	0.9383788185743333	0.07837384856377597	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	family	weighted_f1 ~ study + reference + method + reference:method	reference[Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD]:method[scvi]	1.5271825325765724e-05
scvi	0.9535844691013704	0.0807184601865657	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	family	weighted_f1 ~ study + reference + method + reference:method	reference[Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD]:method[scvi]	1.1012184310287396e-19
seurat	0.9284232927463405	0.08296107210535104	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	family	weighted_f1 ~ study + reference + method + reference:method	reference[Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD]:method[scvi]	1.1012184310287396e-19
scvi	0.9512020382293865	0.08575281485010265	angular gyrus	family	weighted_f1 ~ study + reference + method + reference:method	reference[angular gyrus]:method[scvi]	0.999999999999968
seurat	0.9431136567280239	0.0777904696384958	angular gyrus	family	weighted_f1 ~ study + reference + method + reference:method	reference[angular gyrus]:method[scvi]	0.999999999999968
scvi	0.9546550369158394	0.07685826696588231	anterior cingulate cortex	family	weighted_f1 ~ study + reference + method + reference:method	reference[anterior cingulate cortex]:method[scvi]	8.683651207570073e-15
