metric	stat	class	family	global	subclass
weighted_f1	mean	0.7345223012352745	0.8388150982044531	0.9255491264551162	0.7247606066614634
weighted_f1	std	0.1401472951866484	0.0971834549613351	0.054586004110186354	0.1322816563980033
weighted_precision	mean	0.9170406748105209	0.9362414391128554	0.971683445503906	0.915240749595213
weighted_precision	std	0.06384311859096489	0.04446859965146171	0.026009407465421713	0.062460244887995495
weighted_recall	mean	0.7390629911241201	0.8383680205511717	0.8956120781308833	0.7258716276221976
weighted_recall	std	0.12964586897333719	0.09397602186120438	0.07272546162179454	0.11964914394337693
overall_accuracy	mean	0.7390629911241201	0.8383680205511717	0.8956120781308833	0.7258716276221976
overall_accuracy	std	0.12964586897333719	0.09397602186120438	0.07272546162179454	0.11964914394337693
macro_f1	mean	0.5978730378066385	0.7467858620666262	0.8087146418449244	0.6205910864721232
macro_f1	std	0.11920012153690134	0.08821626057618018	0.1627045027013971	0.09910519778968421
macro_precision	mean	0.8209122856253279	0.884743034044166	0.799558020091667	0.8404352265314939
macro_precision	std	0.14314421830368412	0.0908940222257979	0.19057319359487726	0.12041054359293155
macro_recall	mean	0.6489299987413786	0.7702947532299259	0.8958957600349245	0.6601316420453276
macro_recall	std	0.08044670385086748	0.07184812261856996	0.08576717989871553	0.07104863408197809
micro_f1	mean	0.7390629911241201	0.8383680205511717	0.8956120781308833	0.7258716276221976
micro_f1	std	0.12964586897333719	0.09397602186120438	0.07272546162179454	0.11964914394337693
micro_precision	mean	0.7390629911241201	0.8383680205511717	0.8956120781308833	0.7258716276221976
micro_precision	std	0.12964586897333719	0.09397602186120438	0.07272546162179454	0.11964914394337693
micro_recall	mean	0.7390629911241201	0.8383680205511717	0.8956120781308833	0.7258716276221976
micro_recall	std	0.12964586897333719	0.09397602186120438	0.07272546162179454	0.11964914394337693
