"effect"	"component"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	"(Intercept)"	-3.62900240136066	0.02490818653219	-145.695167196164	0	0	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	291789.855422111	-583557.710844222	-583466.43626007
"fixed"	"cond"	"methodscvi"	-6.28066135545577e-05	0.0237176200173024	-0.00264809932483695	0.997887124902639	0.998557068272733	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	291789.855422111	-583557.710844222	-583466.43626007
"fixed"	"cond"	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-5.13031415499523e-05	0.0237142923952158	-0.00216338487756449	0.998273869953566	0.998557068272733	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	291789.855422111	-583557.710844222	-583466.43626007
"fixed"	"cond"	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-7.11567387986127e-05	0.0237158450456612	-0.00300038808069505	0.997606040265866	0.998557068272733	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	291789.855422111	-583557.710844222	-583466.43626007
"fixed"	"cond"	"referencewhole cortex"	0.198393151344745	0.0238167959536707	8.32996813386095	8.0864117837586e-17	4.0432058918793e-16	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	291789.855422111	-583557.710844222	-583466.43626007
"fixed"	"cond"	"subsample_ref100"	0.032309747288685	0.0145407269209666	2.22201733546739	0.0262821340805427	0.0657053352013568	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	291789.855422111	-583557.710844222	-583466.43626007
"fixed"	"cond"	"subsample_ref50"	0.0728020882521493	0.0145855476205882	4.9913853182575	5.99477721862719e-07	1.99825907287573e-06	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	291789.855422111	-583557.710844222	-583466.43626007
"fixed"	"cond"	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	0.000121152546823314	0.0335450548856279	0.00361163656569902	0.997118337209695	0.998557068272733	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	291789.855422111	-583557.710844222	-583466.43626007
"fixed"	"cond"	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	6.0668645456132e-05	0.0335473593338186	0.00180844771871427	0.998557068272733	0.998557068272733	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	291789.855422111	-583557.710844222	-583466.43626007
"fixed"	"cond"	"methodscvi:referencewhole cortex"	-0.0587325216591483	0.0336628115145917	-1.74473013443009	0.0810318552389973	0.162063710477995	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	291789.855422111	-583557.710844222	-583466.43626007
