"sex"	"disease_state"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"	"key"
"None"	"control"	0.915115241198011	0.0319026412992795	Inf	0.828183094800272	0.960178262993011	"class"
"female"	"disease"	0.933341729348521	0.0722621887853952	Inf	0.589696030783576	0.992722585581611	"class"
"male"	"disease"	0.934393190029271	0.0712023026517684	Inf	0.593810240868051	0.992844524942181	"class"
"None"	"control"	0.94440652344606	0.0230419378585558	Inf	0.877860179001047	0.975699573508044	"family"
"female"	"disease"	0.966786266875388	0.0398504130669053	Inf	0.718822144479442	0.996991802409682	"family"
"male"	"disease"	0.968666638060162	0.0376673273997751	Inf	0.730833665132828	0.997167101260164	"family"
"None"	"control"	0.978509604750507	0.00487298814574596	Inf	0.966568005031056	0.986246469206503	"global"
"female"	"disease"	0.981410582106983	0.0119473025355145	Inf	0.936008961996617	0.994779431994974	"global"
"male"	"disease"	0.982769730587509	0.0110890391391605	Inf	0.940486850167923	0.995165897341894	"global"
"None"	"control"	0.884362861888745	0.0399281917879618	Inf	0.780600005800444	0.942657136665266	"subclass"
"female"	"disease"	0.919180198633044	0.0820285268617234	Inf	0.566374503545457	0.990003229244389	"subclass"
"male"	"disease"	0.923590563645034	0.0779241427811448	Inf	0.581268128119468	0.990588286505668	"subclass"
