metric	stat	class	family	global	subclass
weighted_f1	mean	0.7345223012352745	0.8388150982044531	0.9255491264551162	0.7247606066614634
weighted_f1	std	0.14014729518664842	0.09718345496133517	0.054586004110186354	0.1322816563980033
weighted_precision	mean	0.9170406748105209	0.9362414391128554	0.971683445503906	0.915240749595213
weighted_precision	std	0.06384311859096484	0.04446859965146164	0.026009407465421627	0.06246024488799551
weighted_recall	mean	0.7390629911241201	0.8383680205511717	0.8956120781308833	0.7258716276221976
weighted_recall	std	0.12964586897333716	0.09397602186120428	0.07272546162179461	0.1196491439433769
overall_accuracy	mean	0.7390629911241201	0.8383680205511717	0.8956120781308833	0.7258716276221976
overall_accuracy	std	0.12964586897333716	0.09397602186120428	0.07272546162179461	0.1196491439433769
macro_f1	mean	0.5978730378066385	0.7467858620666262	0.8087146418449244	0.6205910864721234
macro_f1	std	0.11920012153690138	0.08821626057618025	0.16270450270139716	0.09910519778968416
macro_precision	mean	0.820912285625328	0.884743034044166	0.799558020091667	0.8404352265314939
macro_precision	std	0.14314421830368423	0.09089402222579793	0.19057319359487732	0.1204105435929315
macro_recall	mean	0.6489299987413787	0.7702947532299259	0.8958957600349245	0.6601316420453276
macro_recall	std	0.08044670385086754	0.07184812261856996	0.08576717989871556	0.07104863408197806
micro_f1	mean	0.7390629911241201	0.8383680205511717	0.8956120781308833	0.7258716276221976
micro_f1	std	0.12964586897333716	0.09397602186120428	0.07272546162179461	0.1196491439433769
micro_precision	mean	0.7390629911241201	0.8383680205511717	0.8956120781308833	0.7258716276221976
micro_precision	std	0.12964586897333716	0.09397602186120428	0.07272546162179461	0.1196491439433769
micro_recall	mean	0.7390629911241201	0.8383680205511717	0.8956120781308833	0.7258716276221976
micro_recall	std	0.12964586897333716	0.09397602186120428	0.07272546162179461	0.1196491439433769
