"effect"	"component"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	"(Intercept)"	1.83315213675928	0.0567900754435195	32.2794453510181	1.35923993066218e-228	1.63108791679462e-227	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"subclass"	13671.6052758636	-27317.2105517271	-27230.4326650038
"fixed"	"cond"	"cutoff"	-2.83252842079442	0.0985968784326912	-28.7283782795222	1.68734749441564e-181	1.01240849664938e-180	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"subclass"	13671.6052758636	-27317.2105517271	-27230.4326650038
"fixed"	"cond"	"methodscvi"	0.192121851669684	0.0691847496175665	2.77693932162331	0.0054873422040317	0.00731645627204227	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"subclass"	13671.6052758636	-27317.2105517271	-27230.4326650038
"fixed"	"cond"	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-0.0990582970486328	0.0630941786737932	-1.57000691871717	0.116413501680505	0.116413501680505	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"subclass"	13671.6052758636	-27317.2105517271	-27230.4326650038
"fixed"	"cond"	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-0.201118873459609	0.0624369466992643	-3.22115164324618	0.00127676572632271	0.00212527294419469	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"subclass"	13671.6052758636	-27317.2105517271	-27230.4326650038
"fixed"	"cond"	"referencewhole cortex"	-0.998043372926994	0.0631460686717419	-15.8053128867803	2.85966991795301e-56	8.57900975385904e-56	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"subclass"	13671.6052758636	-27317.2105517271	-27230.4326650038
"fixed"	"cond"	"subsample_ref100"	-0.122795099167941	0.0384793282604906	-3.19119653900047	0.00141684862946312	0.00212527294419469	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"subclass"	13671.6052758636	-27317.2105517271	-27230.4326650038
"fixed"	"cond"	"subsample_ref50"	-0.293278883571452	0.0382513688743803	-7.6671474041778	1.75863634142318e-14	3.51727268284637e-14	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"subclass"	13671.6052758636	-27317.2105517271	-27230.4326650038
"fixed"	"cond"	"cutoff:methodscvi"	-3.5055583781797	0.135845143931834	-25.8055479696702	7.68275903612756e-147	3.07310361445102e-146	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"subclass"	13671.6052758636	-27317.2105517271	-27230.4326650038
"fixed"	"cond"	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-0.173219214253813	0.0881465705222275	-1.96512709714706	0.0493995290825462	0.0538903953627777	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"subclass"	13671.6052758636	-27317.2105517271	-27230.4326650038
"fixed"	"cond"	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-0.197282023637038	0.0873611818145532	-2.25823437297151	0.0239310513403511	0.0287172616084213	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"subclass"	13671.6052758636	-27317.2105517271	-27230.4326650038
"fixed"	"cond"	"methodscvi:referencewhole cortex"	0.924093408237288	0.0864520953453279	10.689080519634	1.14500459823336e-26	2.74801103576005e-26	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"subclass"	13671.6052758636	-27317.2105517271	-27230.4326650038
