study	label	key	reference	method	subsample_ref	mean_f1	n_samples	mean_support	rank	n_combos	norm_rank	is_best
CMC	Astrocyte	class	Dissection Angular gyrus AnG	scvi	50	0.9984472049689441	92	7.565217391304348	9.5	60	0.1440677966101695	False
CMC	Astrocyte	class	Dissection Angular gyrus AnG	scvi	100	0.9984472049689441	92	7.565217391304348	9.5	60	0.1440677966101695	False
CMC	Astrocyte	class	Dissection Angular gyrus AnG	scvi	500	0.9976708074534162	92	7.565217391304348	14.0	60	0.22033898305084745	False
CMC	Astrocyte	class	Dissection Angular gyrus AnG	seurat	50	0.996376811594203	92	7.565217391304348	20.5	60	0.3305084745762712	False
CMC	Astrocyte	class	Dissection Angular gyrus AnG	seurat	100	0.991901539122622	92	7.565217391304348	33.0	60	0.5423728813559322	False
CMC	Astrocyte	class	Dissection Angular gyrus AnG	seurat	500	0.9497354497354498	92	7.565217391304348	55.0	60	0.9152542372881356	False
CMC	Astrocyte	class	Dissection Anterior cingulate cortex ACC	scvi	50	0.9913629044063828	92	7.565217391304348	34.0	60	0.559322033898305	False
CMC	Astrocyte	class	Dissection Anterior cingulate cortex ACC	scvi	100	0.9947492831124545	92	7.565217391304348	29.0	60	0.4745762711864407	False
CMC	Astrocyte	class	Dissection Anterior cingulate cortex ACC	scvi	500	0.9750413344492901	92	7.565217391304348	50.0	60	0.8305084745762712	False
CMC	Astrocyte	class	Dissection Anterior cingulate cortex ACC	seurat	50	1.0	92	7.565217391304348	2.0	60	0.01694915254237288	True
CMC	Astrocyte	class	Dissection Anterior cingulate cortex ACC	seurat	100	0.9879227053140096	92	7.565217391304348	39.0	60	0.6440677966101694	False
CMC	Astrocyte	class	Dissection Anterior cingulate cortex ACC	seurat	500	0.9842995169082126	92	7.565217391304348	42.5	60	0.7033898305084746	False
CMC	Astrocyte	class	Dissection Dorsolateral prefrontal cortex DFC	scvi	50	0.926264695766303	92	7.565217391304348	56.0	60	0.9322033898305084	False
CMC	Astrocyte	class	Dissection Dorsolateral prefrontal cortex DFC	scvi	100	0.8305920406819425	92	7.565217391304348	59.0	60	0.9830508474576272	False
CMC	Astrocyte	class	Dissection Dorsolateral prefrontal cortex DFC	scvi	500	0.8511964904654121	92	7.565217391304348	58.0	60	0.9661016949152542	False
CMC	Astrocyte	class	Dissection Dorsolateral prefrontal cortex DFC	seurat	50	0.9504578470691003	92	7.565217391304348	54.0	60	0.8983050847457628	False
CMC	Astrocyte	class	Dissection Dorsolateral prefrontal cortex DFC	seurat	100	0.8943543359183359	92	7.565217391304348	57.0	60	0.9491525423728814	False
CMC	Astrocyte	class	Dissection Dorsolateral prefrontal cortex DFC	seurat	500	0.6474681521075181	92	7.565217391304348	60.0	60	1.0	False
CMC	Astrocyte	class	Dissection Primary auditory cortexA1	scvi	50	0.9832662116229891	92	7.565217391304348	45.0	60	0.7457627118644068	False
CMC	Astrocyte	class	Dissection Primary auditory cortexA1	scvi	100	0.996376811594203	92	7.565217391304348	20.5	60	0.3305084745762712	False
CMC	Astrocyte	class	Dissection Primary auditory cortexA1	scvi	500	0.985585746585969	92	7.565217391304348	40.0	60	0.6610169491525424	False
CMC	Astrocyte	class	Dissection Primary auditory cortexA1	seurat	50	0.9951690821256038	92	7.565217391304348	25.0	60	0.4067796610169492	False
CMC	Astrocyte	class	Dissection Primary auditory cortexA1	seurat	100	0.9904209799861974	92	7.565217391304348	35.0	60	0.576271186440678	False
CMC	Astrocyte	class	Dissection Primary auditory cortexA1	seurat	500	0.9842995169082126	92	7.565217391304348	42.5	60	0.7033898305084746	False
CMC	Astrocyte	class	Dissection Primary somatosensory cortex S1	scvi	50	0.9968196764871956	92	7.565217391304348	16.0	60	0.2542372881355932	False
CMC	Astrocyte	class	Dissection Primary somatosensory cortex S1	scvi	100	0.9956866804692892	92	7.565217391304348	24.0	60	0.3898305084745763	False
CMC	Astrocyte	class	Dissection Primary somatosensory cortex S1	scvi	500	0.9883930712792877	92	7.565217391304348	38.0	60	0.6271186440677966	False
CMC	Astrocyte	class	Dissection Primary somatosensory cortex S1	seurat	50	0.998792270531401	92	7.565217391304348	5.5	60	0.07627118644067797	False
CMC	Astrocyte	class	Dissection Primary somatosensory cortex S1	seurat	100	0.9961717254580257	92	7.565217391304348	23.0	60	0.3728813559322034	False
CMC	Astrocyte	class	Dissection Primary somatosensory cortex S1	seurat	500	0.972790565501563	92	7.565217391304348	51.0	60	0.847457627118644	False
CMC	Astrocyte	class	Dissection Primary visual cortexV1	scvi	50	0.9888716356107661	92	7.565217391304348	36.0	60	0.5932203389830508	False
CMC	Astrocyte	class	Dissection Primary visual cortexV1	scvi	100	0.996730957829356	92	7.565217391304348	17.0	60	0.2711864406779661	False
CMC	Astrocyte	class	Dissection Primary visual cortexV1	scvi	500	0.9802557842445249	92	7.565217391304348	47.0	60	0.7796610169491526	False
CMC	Astrocyte	class	Dissection Primary visual cortexV1	seurat	50	1.0	92	7.565217391304348	2.0	60	0.01694915254237288	True
CMC	Astrocyte	class	Dissection Primary visual cortexV1	seurat	100	0.9997949138638227	92	7.565217391304348	4.0	60	0.05084745762711865	False
