"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"	"key"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	0.975477533838938	0.0386120015907681	Inf	1	-0.627248035175872	0.998518798684717	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	0.98078427173006	0.0388994227564638	Inf	1	-0.489208085136055	0.999709741788346	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex seurat"	1.16647875996777	0.0466320548438399	Inf	1	3.85197699069714	0.00295439552746268	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	3.69275997501921	0.158961392940875	Inf	1	30.3477847313205	0	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	2.25492832719772	0.0944262864389945	Inf	1	19.417508680666	0	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	2.53634578369942	0.107180369579502	Inf	1	22.0249179906887	0	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex scvi"	2.71607519224306	0.115084419798171	Inf	1	23.5815539295088	0	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	1.00544014362918	0.0398008058646326	Inf	1	0.137055376923307	0.99999995388436	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex seurat"	1.19580279350684	0.0478095905508181	Inf	1	4.47254968663993	0.000207816987114473	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	3.78559202741098	0.16298609520264	Inf	1	30.9191331013273	0	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	2.31161482348401	0.096797457900435	Inf	1	20.0109508909809	0	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	2.60010681508755	0.109854089535919	Inf	1	22.6167150252451	0	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex scvi"	2.7843544295214	0.117987260332434	Inf	1	24.1655209171533	0	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex seurat"	1.18933265305137	0.0476495392316034	Inf	1	4.3278737172012	0.000400543014942634	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	3.76510929208249	0.162363036920602	Inf	1	30.744034970642	0	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	2.299107349285	0.0964322757442589	Inf	1	19.84869685574	0	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	2.58603839478933	0.10942161895635	Inf	1	22.4550253857932	0	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex scvi"	2.76928909907173	0.11754336700879	Inf	1	23.9977128402207	0	"all"
"whole cortex seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	3.16573271777469	0.137122952932085	Inf	1	26.6048925330118	0	"all"
"whole cortex seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	1.9331070608264	0.0815650616453421	Inf	1	15.6214694753761	0	"all"
"whole cortex seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	2.17436088057832	0.0925561351744304	Inf	1	18.2473231252776	0	"all"
"whole cortex seurat / whole cortex scvi"	2.32843947567302	0.0993584818916921	Inf	1	19.8069961049194	0	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.610634956631858	0.0271511180682126	Inf	1	-11.0934409880851	3.5527136788005e-14	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.686842849483124	0.0306820079277948	Inf	1	-8.40923949470806	8.23785484271866e-14	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / whole cortex scvi"	0.735513602459075	0.0328630026550378	Inf	1	-6.87519835048426	1.73328684738294e-10	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.12480106489745	0.0494698933574033	Inf	1	2.67402166131441	0.130505370122872	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi) / whole cortex scvi"	1.20450621843863	0.0530491901783257	Inf	1	4.22479809519062	0.000630593192734175	"all"
