reference						Dissection Angular gyrus AnG	Dissection Anterior cingulate cortex ACC	Dissection Dorsolateral prefrontal cortex DFC	Dissection Primary auditory cortexA1	Dissection Primary somatosensory cortex S1	Dissection Primary visual cortexV1	Human Multiple Cortical Areas SMART-seq	Single-nucleus transcriptome data from the dlPFC	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	whole cortex
cutoff						0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15
subsample_ref						100	100	100	100	100	100	100	100	100	100	100
method						seurat	seurat	seurat	seurat	seurat	seurat	seurat	seurat	seurat	seurat	seurat
query	study	sex	dev_stage	disease	key											
CMC 1203011	CMC	None	late adult	Schizophrenia	class	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
CMC 1203011	CMC	None	late adult	Schizophrenia	family	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
CMC 1203011	CMC	None	late adult	Schizophrenia	subclass	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
CMC 1203012	CMC	None	late adult	control	class	0.95	0.95	0.92	0.95	0.9395874713521772	0.95	0.5754693486590038	1.0	0.95	0.95	0.95
CMC 1203012	CMC	None	late adult	control	family	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CMC 1203012	CMC	None	late adult	control	subclass	0.8731666666666666	0.8902142857142857	0.8219047619047619	0.8822142857142857	0.8791610644257704	0.8906666666666666	0.5407222222222221	0.9036111111111113	0.9	0.8906666666666666	0.8902142857142857
CMC 1203013	CMC	None	adult	control	class	0.9647777777777776	0.9647777777777776	0.9207487922705314	0.9647777777777776	0.9647777777777776	0.9647777777777776	0.3776634199134199	0.9647777777777776	0.9647777777777776	0.9647777777777776	0.9647777777777776
CMC 1203013	CMC	None	adult	control	family	0.9899450621321124	0.9899450621321124	0.9454724711907811	0.9899450621321124	0.9899450621321124	0.9899450621321124	0.9801977687626774	0.9899450621321124	0.9899450621321124	0.9899450621321124	0.9899450621321124
CMC 1203013	CMC	None	adult	control	subclass	0.9320476190476192	0.9496666666666664	0.91963768115942	0.9365894909688014	0.9636666666666666	0.9454523809523808	0.297047619047619	0.9102085385878488	0.9496666666666664	0.9496666666666664	0.9496666666666664
CMC 1203014	CMC	None	late adult	Schizophrenia	class	0.9851612903225806	0.9748774619397425	0.9866666666666666	1.0	0.9748774619397425	1.0	0.7748005148005148	1.0	1.0	1.0	0.9851612903225806
CMC 1203014	CMC	None	late adult	Schizophrenia	family	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CMC 1203014	CMC	None	late adult	Schizophrenia	subclass	0.965111111111111	0.9594547337086652	0.9516068376068376	0.9798169934640524	0.9501606160616062	0.973721755368814	0.8095874822190612	0.9801212121212122	0.9802380952380954	0.9802380952380954	0.968309990662932
CMC 1203015	CMC	None	late adult	control	class	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
CMC 1203015	CMC	None	late adult	control	family	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
CMC 1203015	CMC	None	late adult	control	subclass	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
CMC 1203016	CMC	None	adult	control	class	0.96859649122807	0.98	0.98	0.98	0.96859649122807	0.98	0.5894360269360269	1.0	0.98	0.98	0.98
CMC 1203016	CMC	None	adult	control	family	0.9893837535014004	1.0	1.0	1.0	0.9893837535014004	1.0	1.0	1.0	1.0	1.0	1.0
CMC 1203016	CMC	None	adult	control	subclass	0.9268333333333332	0.9595	0.9461666666666666	0.941	0.9453333333333332	0.9423333333333334	0.5446608946608947	0.9623636363636364	0.9704444444444444	0.9704444444444444	0.9704444444444444
CMC 1203018	CMC	None	late adult	Schizophrenia	class	0.9414285714285714	0.9414285714285714	0.936475300400534	0.9414285714285714	0.9315497835497836	0.9414285714285714	0.8077566801015077	0.9783333333333334	0.9414285714285714	0.9414285714285714	0.9614285714285714
CMC 1203018	CMC	None	late adult	Schizophrenia	family	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CMC 1203018	CMC	None	late adult	Schizophrenia	subclass	0.93015873015873	0.93015873015873	0.915452847805789	0.93015873015873	0.92989898989899	0.9201587301587302	0.826105886450714	0.94515873015873	0.93015873015873	0.93015873015873	0.93015873015873
CMC 1203019	CMC	None	late adult	Schizophrenia	class	0.9909382716049382	0.9909382716049382	0.9909382716049382	0.9909382716049382	0.9909382716049382	0.9909382716049382	0.7813079178885631	0.9909382716049382	0.9909382716049382	0.9909382716049382	0.9909382716049382
CMC 1203019	CMC	None	late adult	Schizophrenia	family	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CMC 1203019	CMC	None	late adult	Schizophrenia	subclass	0.9597812614324482	0.9597812614324482	0.9597812614324482	0.9597812614324482	0.9597812614324482	0.9597812614324482	0.735449961802903	0.9597812614324482	0.9597812614324482	0.9597812614324482	0.9597812614324482
CMC 1203020	CMC	None	late adult	Schizophrenia	class	0.9325396825396826	0.9240350877192982	0.8503999999999999	0.9325396825396826	0.9240350877192982	0.9240350877192982	0.9353968253968254	0.9886274509803924	0.9325396825396826	0.9325396825396826	0.9711111111111111
CMC 1203020	CMC	None	late adult	Schizophrenia	family	1.0	1.0	0.960268317853457	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CMC 1203020	CMC	None	late adult	Schizophrenia	subclass	0.916545209176788	0.9218142641672054	0.8326009546009547	0.916545209176788	0.907077422061942	0.907077422061942	0.9147869674185464	0.9570523594053006	0.9312820512820514	0.916545209176788	0.9645201465201464
CMC 1203021	CMC	None	late adult	control	class	0.99	0.99	0.9753696911963168	0.99	0.9802414860681112	0.9802414860681112	0.8182570806100218	1.0	0.99	0.9802414860681112	0.9851282051282052
CMC 1203021	CMC	None	late adult	control	family	1.0	1.0	0.9900314621626096	1.0	0.9900314621626096	0.9900314621626096	0.9900314621626096	1.0	1.0	0.9900314621626096	1.0
CMC 1203021	CMC	None	late adult	control	subclass	0.9468596491228072	0.9468596491228072	0.9373625730994152	0.9468596491228072	0.9418070175438596	0.9754928229665072	0.8050717703349283	0.9660717703349282	0.9468596491228072	0.9510191387559808	0.9648418800031704
CMC 1203022	CMC	None	late adult	Schizophrenia	class	0.9594903160040776	0.97	0.9594903160040776	0.9594903160040776	0.9598487394957982	0.9604078164825828	0.7240279069767444	1.0	0.9594903160040776	0.97	0.9894903160040776
CMC 1203022	CMC	None	late adult	Schizophrenia	family	1.0	1.0	1.0	1.0	0.989867354458364	1.0	1.0	1.0	1.0	1.0	1.0
CMC 1203022	CMC	None	late adult	Schizophrenia	subclass	0.9331792048929662	0.9364666666666668	0.8985125382262998	0.9331792048929662	0.9281333333333334	0.9215008900756564	0.6715851851851852	0.9106424908424908	0.9331792048929662	0.9364666666666668	0.9491792048929664
CMC 1203023	CMC	None	late adult	control	class	0.9513725782414308	0.9513725782414308	0.9228725782414308	0.9513725782414308	0.9513725782414308	0.9513725782414308	0.729826254826255	0.9653725782414306	0.9513725782414308	0.9513725782414308	0.9513725782414308
CMC 1203023	CMC	None	late adult	control	family	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CMC 1203023	CMC	None	late adult	control	subclass	0.9549180327868853	0.9609180327868851	0.8982513661202185	0.9549180327868853	0.9549180327868853	0.9609180327868851	0.7705405405405407	0.9649180327868851	0.9609180327868851	0.9609180327868851	0.9609180327868851
CMC 1203024	CMC	None	late adult	control	class	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
CMC 1203024	CMC	None	late adult	control	family	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
CMC 1203024	CMC	None	late adult	control	subclass	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
CMC 1203025	CMC	None	late adult	control	class	0.9898327759197324	0.9901709401709402	1.0	0.9901709401709402	0.9898327759197324	0.9898327759197324	0.8252804232804233	1.0	1.0	1.0	0.9898327759197324
CMC 1203025	CMC	None	late adult	control	family	1.0	0.989936507936508	1.0	0.989936507936508	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CMC 1203025	CMC	None	late adult	control	subclass	0.9723015873015872	0.9811111111111112	0.9716153846153844	0.9718253968253968	0.9723015873015872	0.9811111111111112	0.8388131868131867	0.9758290598290597	0.9904444444444443	0.9904444444444443	0.9888888888888888
CMC 1203026	CMC	None	late adult	control	class	1.0	1.0	1.0	1.0	1.0	1.0	0.8820855614973263	1.0	1.0	1.0	1.0
CMC 1203026	CMC	None	late adult	control	family	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CMC 1203026	CMC	None	late adult	control	subclass	0.9598412698412698	0.9801269841269842	0.9378972922502332	0.9586666666666666	0.965421101774043	0.968952380952381	0.8525632262474366	0.9403208020050128	0.9647152194211018	0.9721269841269842	0.957421101774043
CMC 1203027	CMC	None	late adult	control	class	0.9753033145716072	0.9902626641651032	0.9902626641651032	0.9753033145716072	0.9902626641651032	0.9902626641651032	0.8635543766578251	0.9753033145716072	0.9902626641651032	0.9753033145716072	0.9753033145716072
CMC 1203027	CMC	None	late adult	control	family	1.0	1.0	1.0	1.0	1.0	1.0	0.990050258684405	1.0	1.0	1.0	1.0
