"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"seurat"	0.00869646306456233	0.00139785274059288	Inf	0.00634382720218854	0.0119111255227136
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.00869646652453581	0.00139785314838058	Inf	0.00634382993776257	0.0119111298623784
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.00869648130455394	0.00139785489033934	Inf	0.00634384162334434	0.0119111484002035
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.00869644685794321	0.00139785083049375	Inf	0.00634381438869164	0.011911105195569
"whole cortex"	"seurat"	0.00869646737461356	0.00139785324856985	Inf	0.00634383060986287	0.0119111309285875
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"scvi"	0.007908697422189	0.00131001078296783	Inf	0.00571407702925586	0.0109369397096999
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.00790871708304412	0.00131001322294905	Inf	0.00571409238795309	0.0109369646790663
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.0079087013501551	0.00131001127044265	Inf	0.00571408009770987	0.0109369446982341
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.00790870596406016	0.00131001184304445	Inf	0.00571408370200742	0.0109369505579122
"whole cortex"	"scvi"	0.8279528570539	0.0150185362198232	Inf	0.796497187813299	0.855428906686679
