metric	stat	class	family	global	subclass
weighted_f1	mean	0.9405389159876222	0.9853210755314457	0.9874800454111631	0.9326986028110974
weighted_f1	std	0.0706060994793579	0.04779635707854666	0.03809933242334995	0.07340751229206072
weighted_precision	mean	0.9736613487635623	0.9898761162098447	0.9899209837668581	0.9762951575540564
weighted_precision	std	0.037032170891528424	0.03222125105418261	0.02714967503795487	0.038272809454212825
weighted_recall	mean	0.9325338612495867	0.984320190409559	0.9875230246072362	0.9217929614493892
weighted_recall	std	0.07839695531625304	0.049035349158875634	0.03779496235169942	0.0820502645119355
overall_accuracy	mean	0.9325338612495867	0.984320190409559	0.9875230246072362	0.9217929614493892
overall_accuracy	std	0.07839695531625304	0.049035349158875634	0.03779496235169942	0.0820502645119355
macro_f1	mean	0.8974383420485923	0.9802086182003936	0.9845484067559567	0.8597803657723369
macro_f1	std	0.10722965259251195	0.06387181928615886	0.047518635254416394	0.11483431517752563
macro_precision	mean	0.944489308048095	0.9877787164958248	0.9862633068932732	0.9515863775598049
macro_precision	std	0.0644326405513619	0.04474780563523966	0.04217822307133974	0.06104759753658293
macro_recall	mean	0.9088187921065096	0.9806089886369911	0.9860778608118688	0.8601525889766376
macro_recall	std	0.09548877069243125	0.06109827956227006	0.044214888978587163	0.11207881238566333
micro_f1	mean	0.9325338612495867	0.984320190409559	0.9875230246072362	0.9217929614493892
micro_f1	std	0.07839695531625304	0.049035349158875634	0.03779496235169942	0.0820502645119355
micro_precision	mean	0.9325338612495867	0.984320190409559	0.9875230246072362	0.9217929614493892
micro_precision	std	0.07839695531625304	0.049035349158875634	0.03779496235169942	0.0820502645119355
micro_recall	mean	0.9325338612495867	0.984320190409559	0.9875230246072362	0.9217929614493892
micro_recall	std	0.07839695531625304	0.049035349158875634	0.03779496235169942	0.0820502645119355
