study	key	metric	mean	std
GSE124952	class	macro_f1	0.7038691378395893	0.0687912807633011
GSE124952	class	macro_precision	0.9802415949114454	0.022856354548705438
GSE124952	class	macro_recall	0.671636513830258	0.06108227601455212
GSE124952	class	micro_f1	0.868	0.06646158933656987
GSE124952	class	micro_precision	0.868	0.06646158933656987
GSE124952	class	micro_recall	0.868	0.06646158933656987
GSE124952	class	overall_accuracy	0.868	0.06646158933656987
GSE124952	class	weighted_f1	0.8787550375567856	0.06677134066753238
GSE124952	class	weighted_precision	0.981551772014299	0.011480176343465674
GSE124952	class	weighted_recall	0.868	0.06646158933656987
GSE124952	family	macro_f1	0.8128809335634241	0.06508734863379703
GSE124952	family	macro_precision	0.9811251031355295	0.023076354110426616
GSE124952	family	macro_recall	0.7764381011318453	0.07228160552205751
GSE124952	family	micro_f1	0.9239999999999999	0.04188419408662069
GSE124952	family	micro_precision	0.9239999999999999	0.04188419408662069
GSE124952	family	micro_recall	0.9239999999999999	0.04188419408662069
GSE124952	family	overall_accuracy	0.9239999999999999	0.04188419408662069
GSE124952	family	weighted_f1	0.9337545634333089	0.03795682957702262
GSE124952	family	weighted_precision	0.9796930574266983	0.013496406626159927
GSE124952	family	weighted_recall	0.9239999999999999	0.04188419408662069
GSE124952	global	macro_f1	0.9636498570764661	0.030826018214225096
GSE124952	global	macro_precision	0.9919492591536608	0.01037541442008171
GSE124952	global	macro_recall	0.9399592066930675	0.050000908248341996
GSE124952	global	micro_f1	0.9493333333333334	0.0393639912804051
GSE124952	global	micro_precision	0.9493333333333334	0.0393639912804051
GSE124952	global	micro_recall	0.9493333333333334	0.0393639912804051
GSE124952	global	overall_accuracy	0.9493333333333334	0.0393639912804051
GSE124952	global	weighted_f1	0.9682924543153862	0.02480244893918137
GSE124952	global	weighted_precision	0.9905965551055154	0.011032282681069795
GSE124952	global	weighted_recall	0.9493333333333334	0.0393639912804051
GSE124952	subclass	macro_f1	0.6998190979799345	0.06975427436946448
GSE124952	subclass	macro_precision	0.9825874663515598	0.023441558478735403
GSE124952	subclass	macro_recall	0.6630046095793062	0.06024039623379398
GSE124952	subclass	micro_f1	0.8580000000000001	0.06773899488899601
GSE124952	subclass	micro_precision	0.8580000000000001	0.06773899488899601
GSE124952	subclass	micro_recall	0.8580000000000001	0.06773899488899601
GSE124952	subclass	overall_accuracy	0.8580000000000001	0.06773899488899601
GSE124952	subclass	weighted_f1	0.8749459788026298	0.06896433507859452
GSE124952	subclass	weighted_precision	0.9856893606781806	0.011447137654517091
GSE124952	subclass	weighted_recall	0.8580000000000001	0.06773899488899601
GSE181021.2	class	macro_f1	0.6689168137135402	0.06438213099687437
GSE181021.2	class	macro_precision	0.949297693047693	0.023889209745736016
GSE181021.2	class	macro_recall	0.6613095238095239	0.05980489189424414
GSE181021.2	class	micro_f1	0.7975	0.05377421934967221
GSE181021.2	class	micro_precision	0.7975	0.05377421934967221
GSE181021.2	class	micro_recall	0.7975	0.05377421934967221
GSE181021.2	class	overall_accuracy	0.7975	0.05377421934967221
GSE181021.2	class	weighted_f1	0.772996466142503	0.06063464067454218
GSE181021.2	class	weighted_precision	0.9273779607629545	0.03160427793697982
GSE181021.2	class	weighted_recall	0.7975	0.05377421934967221
GSE181021.2	family	macro_f1	0.7951072899040164	0.037755577377279616
GSE181021.2	family	macro_precision	0.957116764408431	0.01865569329569344
GSE181021.2	family	macro_recall	0.7907738095238095	0.045095587987445965
GSE181021.2	family	micro_f1	0.8325	0.06020797289396149
GSE181021.2	family	micro_precision	0.8325	0.06020797289396149
GSE181021.2	family	micro_recall	0.8325	0.06020797289396149
GSE181021.2	family	overall_accuracy	0.8325	0.06020797289396149
GSE181021.2	family	weighted_f1	0.8076631328091697	0.061525689351120065
GSE181021.2	family	weighted_precision	0.9307208229479104	0.028061854665985604
GSE181021.2	family	weighted_recall	0.8325	0.06020797289396149
GSE181021.2	global	macro_f1	0.9576233834806345	0.02546327603168201
GSE181021.2	global	macro_precision	1.0	0.0
GSE181021.2	global	macro_recall	0.9212413681529534	0.04508726978397202
GSE181021.2	global	micro_f1	0.91	0.05830951894845299
GSE181021.2	global	micro_precision	0.91	0.05830951894845299
GSE181021.2	global	micro_recall	0.91	0.05830951894845299
GSE181021.2	global	overall_accuracy	0.91	0.05830951894845299
GSE181021.2	global	weighted_f1	0.9512759999259396	0.03311457318191835
GSE181021.2	global	weighted_precision	1.0	0.0
GSE181021.2	global	weighted_recall	0.91	0.05830951894845299
GSE181021.2	subclass	macro_f1	0.6633872427434153	0.05919985468075114
GSE181021.2	subclass	macro_precision	0.9537619787619787	0.021913905387231147
GSE181021.2	subclass	macro_recall	0.6479060794278185	0.05228062491591416
GSE181021.2	subclass	micro_f1	0.785	0.05000000000000005
GSE181021.2	subclass	micro_precision	0.785	0.05000000000000005
GSE181021.2	subclass	micro_recall	0.785	0.05000000000000005
GSE181021.2	subclass	overall_accuracy	0.785	0.05000000000000005
GSE181021.2	subclass	weighted_f1	0.7688137640594308	0.055754177230519605
GSE181021.2	subclass	weighted_precision	0.9334686117731961	0.026661670415478914
GSE181021.2	subclass	weighted_recall	0.785	0.05000000000000005
GSE185454	class	macro_f1	0.7121236740256457	0.08730649279576257
GSE185454	class	macro_precision	0.9607843137254902	0.06298971923219228
GSE185454	class	macro_recall	0.7221281946204059	0.07049219399233345
GSE185454	class	micro_f1	0.8975	0.020615528128088312
GSE185454	class	micro_precision	0.8975	0.020615528128088312
GSE185454	class	micro_recall	0.8975	0.020615528128088312
GSE185454	class	overall_accuracy	0.8975	0.020615528128088312
GSE185454	class	weighted_f1	0.9141368447149834	0.02004500038742872
GSE185454	class	weighted_precision	0.9932749624800474	0.004722308943092326
GSE185454	class	weighted_recall	0.8975	0.020615528128088312
GSE185454	family	macro_f1	0.8623647826722176	0.09115117250917064
GSE185454	family	macro_precision	0.9927662957074722	0.005678295091145497
GSE185454	family	macro_recall	0.8578733766233766	0.09428858032757878
GSE185454	family	micro_f1	0.9824999999999999	0.009574271077563392
GSE185454	family	micro_precision	0.9824999999999999	0.009574271077563392
GSE185454	family	micro_recall	0.9824999999999999	0.009574271077563392
GSE185454	family	overall_accuracy	0.9824999999999999	0.009574271077563392
GSE185454	family	weighted_f1	0.9821471654630705	0.01094695512125347
GSE185454	family	weighted_precision	0.9903325785678727	0.00802667861759526
GSE185454	family	weighted_recall	0.9824999999999999	0.009574271077563392
GSE185454	global	macro_f1	0.9853409419550078	0.021650996849413705
GSE185454	global	macro_precision	0.9969512195121951	0.0060975609756098075
GSE185454	global	macro_recall	0.9753710045662101	0.03427020683905421
GSE185454	global	micro_f1	0.9875	0.012583057392117914
GSE185454	global	micro_precision	0.9875	0.012583057392117914
GSE185454	global	micro_recall	0.9875	0.012583057392117914
GSE185454	global	overall_accuracy	0.9875	0.012583057392117914
GSE185454	global	weighted_f1	0.9909470030131436	0.011607551174560159
GSE185454	global	weighted_precision	0.9951219512195122	0.00975609756097561
GSE185454	global	weighted_recall	0.9875	0.012583057392117914
GSE185454	subclass	macro_f1	0.6833806513141039	0.06783351620788253
GSE185454	subclass	macro_precision	0.9100351763512423	0.04537901681604633
GSE185454	subclass	macro_recall	0.6835492436664388	0.06565028889057896
GSE185454	subclass	micro_f1	0.735	0.012909944487358068
GSE185454	subclass	micro_precision	0.735	0.012909944487358068
GSE185454	subclass	micro_recall	0.735	0.012909944487358068
GSE185454	subclass	overall_accuracy	0.735	0.012909944487358068
GSE185454	subclass	weighted_f1	0.7823932320560952	0.01658753097461674
GSE185454	subclass	weighted_precision	0.9444788070324309	0.015404215224452747
GSE185454	subclass	weighted_recall	0.735	0.012909944487358068
GSE199460.2	class	macro_f1	0.9465761177136389	0.03089340323010844
GSE199460.2	class	macro_precision	1.0	0.0
GSE199460.2	class	macro_recall	0.8993877551020408	0.05570269745673612
GSE199460.2	class	micro_f1	0.8993877551020408	0.05570269745673612
GSE199460.2	class	micro_precision	0.8993877551020408	0.05570269745673612
GSE199460.2	class	micro_recall	0.8993877551020408	0.05570269745673612
GSE199460.2	class	overall_accuracy	0.8993877551020408	0.05570269745673612
GSE199460.2	class	weighted_f1	0.9465761177136389	0.03089340323010844
GSE199460.2	class	weighted_precision	1.0	0.0
GSE199460.2	class	weighted_recall	0.8993877551020408	0.05570269745673612
GSE199460.2	family	macro_f1	0.9465761177136389	0.03089340323010844
GSE199460.2	family	macro_precision	1.0	0.0
GSE199460.2	family	macro_recall	0.8993877551020408	0.05570269745673612
GSE199460.2	family	micro_f1	0.8993877551020408	0.05570269745673612
GSE199460.2	family	micro_precision	0.8993877551020408	0.05570269745673612
GSE199460.2	family	micro_recall	0.8993877551020408	0.05570269745673612
GSE199460.2	family	overall_accuracy	0.8993877551020408	0.05570269745673612
GSE199460.2	family	weighted_f1	0.9465761177136389	0.03089340323010844
GSE199460.2	family	weighted_precision	1.0	0.0
GSE199460.2	family	weighted_recall	0.8993877551020408	0.05570269745673612
GSE199460.2	global	macro_f1	0.9846412791920893	0.007140990005670928
GSE199460.2	global	macro_precision	1.0	0.0
GSE199460.2	global	macro_recall	0.969795918367347	0.013853520611001795
GSE199460.2	global	micro_f1	0.969795918367347	0.013853520611001795
GSE199460.2	global	micro_precision	0.969795918367347	0.013853520611001795
GSE199460.2	global	micro_recall	0.969795918367347	0.013853520611001795
GSE199460.2	global	overall_accuracy	0.969795918367347	0.013853520611001795
GSE199460.2	global	weighted_f1	0.9846412791920891	0.007140990005670849
GSE199460.2	global	weighted_precision	1.0	0.0
GSE199460.2	global	weighted_recall	0.969795918367347	0.013853520611001795
GSE199460.2	subclass	macro_f1	0.9350333940497875	0.03949837514824657
GSE199460.2	subclass	macro_precision	1.0	0.0
GSE199460.2	subclass	macro_recall	0.8792857142857142	0.06970052557410263
GSE199460.2	subclass	micro_f1	0.8792857142857142	0.06970052557410263
GSE199460.2	subclass	micro_precision	0.8792857142857142	0.06970052557410263
GSE199460.2	subclass	micro_recall	0.8792857142857142	0.06970052557410263
GSE199460.2	subclass	overall_accuracy	0.8792857142857142	0.06970052557410263
GSE199460.2	subclass	weighted_f1	0.9350333940497875	0.03949837514824657
GSE199460.2	subclass	weighted_precision	1.0	0.0
GSE199460.2	subclass	weighted_recall	0.8792857142857142	0.06970052557410263
GSE214244.1	class	macro_f1	0.6400093465714743	0.07323138542571739
