"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"seurat"	0.0149852573073219	0.00205140665700694	Inf	0.011453041272395	0.0195852563307098
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.0285856399478253	0.00379872885686253	Inf	0.0220106673861368	0.0370502655095382
"BrainAgingSpatialAtlas snRNAseq"	"seurat"	0.0149852598594126	0.00205140691107074	Inf	0.0114530433652056	0.0195852594211929
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.0202178096708893	0.00272443205309833	Inf	0.0155147229834717	0.0263084774311463
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.0180850498362964	0.00245356529804515	Inf	0.0138541254057345	0.02357716856395
"whole cortex"	"seurat"	0.0203197050077642	0.00273819459285071	Inf	0.0155928142456396	0.026441042767811
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"scvi"	0.0146584165755616	0.0020148252470633	Inf	0.0111911037543954	0.0191791618381677
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.0146584242612952	0.0020148260177211	Inf	0.0111911100482909	0.0191791711587597
"BrainAgingSpatialAtlas snRNAseq"	"scvi"	0.0146584263571684	0.00201482622787712	Inf	0.0111911117646142	0.0191791737004539
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.0146584189904829	0.00201482548920996	Inf	0.0111911057319902	0.019179164766774
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.0146584079119714	0.00201482437835358	Inf	0.0111910966597286	0.0191791513317131
"whole cortex"	"scvi"	0.0146584134049483	0.00201482492914151	Inf	0.0111911011579611	0.019179157993121
