label	key	reference	method	subsample_ref	mean_rank	median_rank	mean_norm_rank	n_studies	n_wins	mean_f1_across_studies	std_f1_across_studies	mean_support	total_samples	win_fraction
Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	500	3.8333333333333335	3.5	0.12318840579710144	6	4	0.9431755346038777	0.05863041124838037	0.1036213119691467	64	0.6666666666666666
Astrocyte	class	whole cortex	seurat	100	5.166666666666667	4.75	0.18115942028985507	6	2	0.9382088425060305	0.057061635957926064	0.1036213119691467	64	0.3333333333333333
Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	50	5.333333333333333	4.25	0.18840579710144925	6	2	0.9391116360344807	0.05002014467485087	0.1036213119691467	64	0.3333333333333333
Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	100	6.0	6.0	0.21739130434782608	6	1	0.9301045520078789	0.04921964729703129	0.1036213119691467	64	0.16666666666666666
Astrocyte	class	whole cortex	seurat	500	6.666666666666667	6.0	0.24637681159420288	6	1	0.9279892200148523	0.06523670557744107	0.1036213119691467	64	0.16666666666666666
Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi	100	7.583333333333333	7.25	0.286231884057971	6	2	0.9274491095191437	0.05371724970299639	0.1036213119691467	64	0.3333333333333333
Astrocyte	class	whole cortex	scvi	100	9.166666666666666	8.5	0.35507246376811596	6	1	0.9236269030842376	0.05525410217816657	0.1036213119691467	64	0.16666666666666666
Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi	500	9.75	8.75	0.3804347826086956	6	1	0.9197842630661528	0.04919318405230754	0.1036213119691467	64	0.16666666666666666
Astrocyte	class	whole cortex	scvi	50	10.5	10.75	0.41304347826086957	6	1	0.913778332773899	0.061870195112680486	0.1036213119691467	64	0.16666666666666666
Astrocyte	class	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi	500	10.75	10.0	0.4239130434782609	6	1	0.9122339347509447	0.05427771899299903	0.1036213119691467	64	0.16666666666666666
