label	key	cutoff	n_studies	n_studies_total	frac_studies	mean_f1	std_f1	min_f1	max_f1	mean_precision	std_precision	min_precision	max_precision	mean_recall	std_recall	min_recall	max_recall
Endothelial	subclass	0.0	6	7	0.8571428571428571	0.9526152478358408	0.025181184823770037	0.921952010810321	0.9960317460317459	0.9988425925925926	0.002835057572665705	0.9930555555555556	1.0	0.9177071346900415	0.045290443295050074	0.8700561705084348	1.0
DG	subclass	0.0	1	7	0.14285714285714285	0.89437149388809		0.89437149388809	0.89437149388809	0.9977668165168165		0.9977668165168165	0.9977668165168165	0.8462919892285854		0.8462919892285854	0.8462919892285854
Astrocyte	subclass	0.0	6	7	0.8571428571428571	0.8928979643616407	0.06762182689719674	0.8115515356714181	0.9856303117846282	0.942818454247707	0.044258779723769834	0.8846165615941157	0.9932110616168587	0.8838215690895632	0.07171103119722817	0.7984255852463443	0.9801136363636365
Oligodendrocyte	subclass	0.0	6	7	0.8571428571428571	0.8448791707177897	0.06568820368885271	0.7711162440463997	0.9622422464274316	0.8044598006694641	0.09357140767300103	0.70967601084933	0.9668089036961587	0.9219276327419351	0.03479610944753689	0.8798011039151591	0.9677854938271605
CA3	subclass	0.0	1	7	0.14285714285714285	0.6864975420596473		0.6864975420596473	0.6864975420596473	0.801597432181351		0.801597432181351	0.801597432181351	0.6630050505050505		0.6630050505050505	0.6630050505050505
CA1-ProS	subclass	0.0	1	7	0.14285714285714285	0.6786519666790385		0.6786519666790385	0.6786519666790385	0.9611074234354331		0.9611074234354331	0.9611074234354331	0.5705048854558659		0.5705048854558659	0.5705048854558659
Pericyte	subclass	0.0	1	7	0.14285714285714285	0.637037037037037		0.637037037037037	0.637037037037037	1.0		1.0	1.0	0.5925925925925926		0.5925925925925926	0.5925925925925926
Cajal-Retzius cell	subclass	0.0	2	7	0.2857142857142857	0.5704181363903587	0.25396710707299025	0.3908362727807172	0.75	0.9348115299334812	0.06647744461709448	0.8878048780487805	0.9818181818181818	0.558641975308642	0.27062111378744413	0.36728395061728397	0.75
Neural stem cell	subclass	0.0	2	7	0.2857142857142857	0.37235416426091283	0.11442594355537661	0.2914428036292369	0.45326552489258876	0.3705471491861668	0.1203857927361534	0.2854215387839146	0.45567275958841913	0.5446519144435811	0.10494923960064197	0.4704415954415954	0.6188622334455668
Macrophage	subclass	0.0	2	7	0.2857142857142857	0.20480710083554238	0.07934444242538852	0.14870210754708454	0.2609120941240002	0.13426847268637326	0.05896017330136749	0.09257733432504228	0.17595961104770425	0.7339972350823045	0.059005132798665295	0.6922743055555556	0.7757201646090536
Microglia	subclass	0.0	6	7	0.8571428571428571	0.15433413034382237	0.04933688545125895	0.09439571150097466	0.22407407407407406	0.9640756931915823	0.06130913584481533	0.8515614869059672	1.0	0.14635990403547303	0.05030115109992062	0.08410493827160494	0.21875
OPC	subclass	0.0	6	7	0.8571428571428571	0.13075466052965792	0.10937383210044817	0.024985302763080537	0.2921645918615616	0.6334364879103335	0.41898168421924376	0.07651515151515151	0.9740740740740741	0.13656482616487173	0.08339217098996916	0.05909609666919608	0.27876382876382877
