metric	stat	class	family	global	subclass
weighted_f1	mean	0.7394326140492067	0.8434857420217766	0.9401679755461535	0.7310081853745435
weighted_f1	std	0.13554921534991404	0.09597586012646425	0.05207156571675852	0.12883901760846622
weighted_precision	mean	0.9049926002264	0.9241461030479193	0.967507670667168	0.903267619777486
weighted_precision	std	0.061910730804153664	0.04415033319378649	0.026254450024231	0.06000329104561002
weighted_recall	mean	0.7573549333758498	0.8565150352666694	0.9256310501953215	0.7459027003087099
weighted_recall	std	0.12456774789996644	0.09061401178618361	0.06454341734213521	0.11644122035617714
overall_accuracy	mean	0.7573549333758498	0.8565150352666694	0.9256310501953215	0.7459027003087099
overall_accuracy	std	0.12456774789996644	0.09061401178618361	0.06454341734213521	0.11644122035617714
macro_f1	mean	0.6143653449600996	0.7611103754465517	0.8295149959113256	0.635785970185221
macro_f1	std	0.10860011035456071	0.08126750251350305	0.1497417262051651	0.09174991787789519
macro_precision	mean	0.8171263900168249	0.877044910030852	0.8038095861241645	0.8361504256854573
macro_precision	std	0.12803229496323898	0.08831981804139444	0.17715840505889782	0.10802114111600811
macro_recall	mean	0.6732166445609056	0.793016434065739	0.9162248513400943	0.6832569982965039
macro_recall	std	0.07489092582536101	0.06593139381245007	0.08467303551590316	0.06747190728122435
micro_f1	mean	0.7573549333758498	0.8565150352666694	0.9256310501953215	0.7459027003087099
micro_f1	std	0.12456774789996644	0.09061401178618361	0.06454341734213521	0.11644122035617714
micro_precision	mean	0.7573549333758498	0.8565150352666694	0.9256310501953215	0.7459027003087099
micro_precision	std	0.12456774789996644	0.09061401178618361	0.06454341734213521	0.11644122035617714
micro_recall	mean	0.7573549333758498	0.8565150352666694	0.9256310501953215	0.7459027003087099
micro_recall	std	0.12456774789996644	0.09061401178618361	0.06454341734213521	0.11644122035617714
