"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"seurat"	0.0512275855002576	0.0184593265407504	Inf	0.0250069522708039	0.102063415040606
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.0512273571200707	0.0184592503339235	Inf	0.0250068360884446	0.102062990483226
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.667237393586814	0.0841731278137527	Inf	0.488173710397801	0.808260555968822
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.102239085377929	0.0349338908549804	Inf	0.051244008433519	0.193624850953912
"whole cortex"	"seurat"	0.16473744807598	0.0522924377887934	Inf	0.0856262155464444	0.293480770099378
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"scvi"	0.0616279094668036	0.0218988756124494	Inf	0.0303180282293893	0.121229556643999
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.0616275411199115	0.0218987559899096	Inf	0.0303178383136721	0.121228887723159
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.269628049904531	0.0742865931822605	Inf	0.149839642447808	0.436061552319804
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.212620948194274	0.0634257356397398	Inf	0.11387614202198	0.362009668729144
"whole cortex"	"scvi"	0.239026453509345	0.0686279014942	Inf	0.130389869166089	0.396867914941302
