"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"	"key"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.863092408065057	0.0377773969739603	Inf	0.771113354706751	0.921855056187262	"class"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.790868223081787	0.0528641974439916	Inf	0.669011583400071	0.87616621492252	"class"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.755652230902003	0.0590099012439746	Inf	0.62307059570362	0.852629542057976	"class"
"whole cortex"	"seurat"	0.786911244793343	0.0535930964912908	Inf	0.663734104636815	0.873562765666005	"class"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.843176774485943	0.0422736871146974	Inf	0.741821822987746	0.909591367732507	"class"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.829285947102986	0.0452543917991082	Inf	0.721929866124379	0.900884883331	"class"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.73849444569149	0.0617272807644293	Inf	0.601493678151482	0.840857670562823	"class"
"whole cortex"	"scvi"	0.846721301472094	0.04149020790117	Inf	0.746974572353987	0.911789761011892	"class"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.887312641799502	0.0200225706463183	Inf	0.841722621614906	0.921003393028242	"family"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.883839773621438	0.0205560016711741	Inf	0.837110105158818	0.918469346234159	"family"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.845262790212995	0.0261753950160478	Inf	0.786788805112258	0.889943291032979	"family"
"whole cortex"	"seurat"	0.863317881563573	0.0236225008281806	Inf	0.810115201634122	0.903391665845986	"family"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.911541204954041	0.0161523973793056	Inf	0.874350403512408	0.938498271471056	"family"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.899694422170288	0.0180714320629511	Inf	0.858313329257787	0.929975730262282	"family"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.840546223671636	0.0268259729275536	Inf	0.780744106732956	0.886410370447154	"family"
"whole cortex"	"scvi"	0.905908809639135	0.0170719427224252	Inf	0.866703604585807	0.934455002622315	"family"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.966943238777209	0.0118966158866445	Inf	0.933791167597959	0.983783688075158	"global"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.97728858344356	0.00826199130834499	Inf	0.954014215501716	0.988920115023224	"global"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.962288824477891	0.013497353124832	Inf	0.924865521959683	0.981446107783699	"global"
"whole cortex"	"seurat"	0.954982722337821	0.0159997503985889	Inf	0.910943668669166	0.977775434900406	"global"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.964515914219002	0.0127569941533015	Inf	0.92903675025121	0.982589156545288	"global"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.960154113419282	0.0142450291892728	Inf	0.920729699543119	0.980388759466773	"global"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.930671870935288	0.024015573460679	Inf	0.866173351225743	0.965329232315886	"global"
"whole cortex"	"scvi"	0.967229459669015	0.0118092738137551	Inf	0.93429875252668	0.9839384207248	"global"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.841004818826939	0.0382096048566124	Inf	0.751318893358766	0.902541513809509	"subclass"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.787278861214489	0.0478488052439334	Inf	0.678875931854384	0.866295044874458	"subclass"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.717775621084655	0.0578719958383034	Inf	0.592310497641436	0.816585657508597	"subclass"
"whole cortex"	"seurat"	0.774530609193755	0.0498929265068386	Inf	0.662422343660401	0.857421607333804	"subclass"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.837140862531397	0.0389601808676396	Inf	0.74592887043772	0.899997557589872	"subclass"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.825657983361193	0.0411322814865173	Inf	0.730095916778763	0.892373129822891	"subclass"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.732548532885046	0.0559810958295311	Inf	0.610060276507104	0.82744367865174	"subclass"
"whole cortex"	"scvi"	0.839728406379906	0.0384584904025917	Inf	0.749535278393367	0.901702145414177	"subclass"
