"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"seurat"	0.104116551965444	0.0160960786747082	Inf	0.0765256183859851	0.140145595459082
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.817858299849773	0.0257735196404103	Inf	0.761840935657689	0.863068028905293
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.828804188432741	0.0245431833597601	Inf	0.775241694984235	0.871714379245746
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.802035286819409	0.0274364248075335	Inf	0.742763169660494	0.850400736158265
"whole cortex"	"seurat"	0.751416685677889	0.0323085683066421	Inf	0.682908801811841	0.809257477004311
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"scvi"	0.170375035956127	0.0243039285217251	Inf	0.12786413124634	0.223399173408526
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.794846004723371	0.0282266345878121	Inf	0.734020646046524	0.844704423822638
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.829564145586163	0.0244400431413721	Inf	0.776215172765141	0.872287574295719
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.691863183155403	0.0369348474607645	Inf	0.615213600598645	0.75921992121921
"whole cortex"	"scvi"	0.804556830520224	0.0272330894568766	Inf	0.745656294460374	0.852515170228589
