"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"seurat"	0.768879011105223	0.0159933673487503	Inf	0.736061106225407	0.798732150376975
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.563071276928138	0.0199267763174416	Inf	0.523703988555092	0.601659668661709
"BrainAgingSpatialAtlas snRNAseq"	"seurat"	0.0176667979123633	0.00197561385559906	Inf	0.0141839192321447	0.0219858283360935
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.681470090155445	0.0185541494205984	Inf	0.644054601306882	0.71668271418915
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.65822540095996	0.0185064335998046	Inf	0.621086415528621	0.693520491681443
"whole cortex"	"seurat"	0.557047201887792	0.0198643256981563	Inf	0.517842248465089	0.595554092833555
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"scvi"	0.948405976028368	0.00559395760679125	Inf	0.936273791596213	0.958331231297264
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.949379777529185	0.00580314552838387	Inf	0.936718240416679	0.959617184665592
"BrainAgingSpatialAtlas snRNAseq"	"scvi"	0.0368014800141359	0.00395274581307927	Inf	0.0297917548221473	0.0453833785798483
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.916318130000118	0.00750485149166457	Inf	0.900385298567346	0.92990099338294
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.864028785660764	0.0110017597568037	Inf	0.840991119778935	0.884188326568398
"whole cortex"	"scvi"	0.905271183237919	0.00825913995940524	Inf	0.887798757248389	0.92026709416863
