"effect"	"component"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	"(Intercept)"	-0.727713328665178	0.0625731802207599	-11.6297961218814	2.90791259933348e-31	8.72373779800043e-31	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"global"	30254.7359836449	-60483.4719672898	-60399.5417769253
"fixed"	"cond"	"cutoff"	-0.414402994234584	0.0965172757366952	-4.29356289919641	1.75828471713861e-05	2.10994166056633e-05	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"global"	30254.7359836449	-60483.4719672898	-60399.5417769253
"fixed"	"cond"	"methodscvi"	0.702033142664979	0.0825920649081903	8.50000715498956	1.89579010933275e-17	4.5498962623986e-17	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"global"	30254.7359836449	-60483.4719672898	-60399.5417769253
"fixed"	"cond"	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-1.62581528401792	0.067911350056031	-23.940258626526	1.16723775962999e-126	7.92455314794981e-126	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"global"	30254.7359836449	-60483.4719672898	-60399.5417769253
"fixed"	"cond"	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-1.62624015375365	0.0679437217430497	-23.9351055849396	1.32075885799164e-126	7.92455314794981e-126	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"global"	30254.7359836449	-60483.4719672898	-60399.5417769253
"fixed"	"cond"	"referencewhole cortex"	-1.252679263703	0.0685363159378973	-18.2775984755015	1.24801592192749e-74	4.99206368770995e-74	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"global"	30254.7359836449	-60483.4719672898	-60399.5417769253
"fixed"	"cond"	"subsample_ref100"	-0.0575915357194624	0.040363054725732	-1.42683788704295	0.153626627750815	0.153626627750815	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"global"	30254.7359836449	-60483.4719672898	-60399.5417769253
"fixed"	"cond"	"subsample_ref50"	-0.075132755930705	0.0403926979959118	-1.86005787328961	0.0628773384436328	0.0685934601203266	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"global"	30254.7359836449	-60483.4719672898	-60399.5417769253
"fixed"	"cond"	"cutoff:methodscvi"	-0.84074238534021	0.139067650458489	-6.04556402994073	1.488882044099e-09	2.55236921845542e-09	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"global"	30254.7359836449	-60483.4719672898	-60399.5417769253
"fixed"	"cond"	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-0.520379545052733	0.0967284092345566	-5.37980050711746	7.45684242442885e-08	1.11852636366433e-07	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"global"	30254.7359836449	-60483.4719672898	-60399.5417769253
"fixed"	"cond"	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-0.516869640343085	0.0967518335382104	-5.34222062198911	9.18148118043905e-08	1.22419749072521e-07	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"global"	30254.7359836449	-60483.4719672898	-60399.5417769253
"fixed"	"cond"	"methodscvi:referencewhole cortex"	0.637325874428597	0.0987894364225786	6.45135651652462	1.10853373679417e-10	2.21706747358834e-10	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"global"	30254.7359836449	-60483.4719672898	-60399.5417769253
