reference								Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	Single-cell RNA-seq for all cortical  hippocampal regions 10x	Single-cell RNA-seq for all cortical  hippocampal regions 10x	Single-cell RNA-seq for all cortical  hippocampal regions 10x	Single-cell RNA-seq for all cortical  hippocampal regions 10x	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	whole cortex	whole cortex	whole cortex	whole cortex
cutoff								0.1	0.1	0.15	0.15	0.1	0.15	0.15	0.1	0.1	0.15	0.15	0.1	0.15	0.15	0.1	0.1	0.15	0.15
subsample_ref								500	500	100	100	500	100	100	500	500	100	100	500	100	100	500	500	100	100
method								scvi	seurat	scvi	seurat	scvi	scvi	seurat	scvi	seurat	scvi	seurat	scvi	scvi	seurat	scvi	seurat	scvi	seurat
query	study	sex	age	genotype	strain	treatment	key																		
GSE152715.1 1051989	GSE152715.1	male	None	Hnrnpu+/+	C57BL/6NJ	None	class	nan	nan	0.753663854574123	nan	nan	0.7708995860588391	nan	nan	nan	0.8317690873943179	nan	nan	0.7693833844768724	nan	nan	nan	0.8257162670678778	nan
GSE152715.1 1051989	GSE152715.1	male	None	Hnrnpu+/+	C57BL/6NJ	None	family	nan	nan	0.8654956691535115	nan	nan	0.8812080708879618	nan	nan	nan	0.8630927680264093	nan	nan	0.7962621756983312	nan	nan	nan	0.8575768458554851	nan
GSE152715.1 1051989	GSE152715.1	male	None	Hnrnpu+/+	C57BL/6NJ	None	global	nan	nan	0.903142646546281	nan	nan	0.9332101666796222	nan	nan	nan	0.9197541887699192	nan	nan	0.850005361118829	nan	nan	nan	0.9139809121531216	nan
GSE152715.1 1051989	GSE152715.1	male	None	Hnrnpu+/+	C57BL/6NJ	None	subclass	nan	nan	0.7445210839516653	nan	nan	0.7510060301697247	nan	nan	nan	0.7694816702879332	nan	nan	0.7317955864393558	nan	nan	nan	0.7518071523180585	nan
GSE152715.1 1051990	GSE152715.1	female	None	Hnrnpu+/-	C57BL/6NJ	None	class	0.7337569332244027	nan	nan	nan	0.7823213012399326	nan	nan	0.837215720260083	nan	nan	nan	0.7992990284734558	nan	nan	0.8417464435428399	0.6803842248923421	nan	nan
GSE152715.1 1051990	GSE152715.1	female	None	Hnrnpu+/-	C57BL/6NJ	None	family	0.8213658004835145	nan	nan	nan	0.8821002855734553	nan	nan	0.8497993595901135	nan	nan	nan	0.8222572788824702	nan	nan	0.8682904165301619	0.6474352549191396	nan	nan
GSE152715.1 1051990	GSE152715.1	female	None	Hnrnpu+/-	C57BL/6NJ	None	global	0.8610160594999162	nan	nan	nan	0.9407522835245438	nan	nan	0.9224729423567876	nan	nan	nan	0.8880444770235044	nan	nan	0.940715389651056	0.6640594525612399	nan	nan
GSE152715.1 1051990	GSE152715.1	female	None	Hnrnpu+/-	C57BL/6NJ	None	subclass	0.7278654871728996	nan	nan	nan	0.7643346119520634	nan	nan	0.7905780429971948	nan	nan	nan	0.7481984167831532	nan	nan	0.7977515933535341	0.6582990214130091	nan	nan
GSE152715.1 1051991	GSE152715.1	female	None	Hnrnpu+/+	C57BL/6NJ	None	class	0.727633283166365	nan	0.7505533605407997	nan	0.7712955094494007	0.770424663704955	nan	0.8335295381012755	nan	0.8211165339827908	nan	0.7946857324666029	0.7468095654700588	nan	0.8390981635536057	0.8566869562023073	0.815880170400154	nan
