"effect"	"component"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	"(Intercept)"	2.35676992948684	0.0360655836218497	65.3467847407585	0	0	"f1_score ~ key + cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"all"	68677.2910609494	-137324.582121899	-137209.168418303
"fixed"	"cond"	"keyfamily"	-0.306633486186791	0.0221046193688055	-13.8719188541884	9.37352263045271e-44	2.62458633652676e-43	"f1_score ~ key + cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"all"	68677.2910609494	-137324.582121899	-137209.168418303
"fixed"	"cond"	"keysubclass"	0.0242203448375521	0.0229151386205356	1.05695825098989	0.290530641526191	0.290530641526191	"f1_score ~ key + cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"all"	68677.2910609494	-137324.582121899	-137209.168418303
"fixed"	"cond"	"cutoff"	-1.60919807180875	0.0582768745313023	-27.6129782997268	7.77276413945988e-168	3.62728993174794e-167	"f1_score ~ key + cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"all"	68677.2910609494	-137324.582121899	-137209.168418303
"fixed"	"cond"	"methodscvi"	0.241658754761705	0.0409134163081881	5.90658948989654	3.49262608661398e-09	4.07473043438298e-09	"f1_score ~ key + cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"all"	68677.2910609494	-137324.582121899	-137209.168418303
"fixed"	"cond"	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	0.25128335508763	0.0357828858033126	7.02244521218485	2.18018507367513e-12	3.05225910314518e-12	"f1_score ~ key + cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"all"	68677.2910609494	-137324.582121899	-137209.168418303
"fixed"	"cond"	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	0.1251029959862	0.0357165043915527	3.50266629160351	0.000460626157067233	0.000496058938380097	"f1_score ~ key + cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"all"	68677.2910609494	-137324.582121899	-137209.168418303
"fixed"	"cond"	"referencewhole cortex"	-0.344261693803658	0.0363947879040156	-9.45909328312567	3.10624976427963e-21	5.43593708748935e-21	"f1_score ~ key + cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"all"	68677.2910609494	-137324.582121899	-137209.168418303
"fixed"	"cond"	"subsample_ref100"	-0.187733903775568	0.0224027131300541	-8.37996285029049	5.29444113974753e-17	8.23579732849616e-17	"f1_score ~ key + cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"all"	68677.2910609494	-137324.582121899	-137209.168418303
"fixed"	"cond"	"subsample_ref50"	-0.346151457734037	0.0225958288668487	-15.3192635585009	5.68580568461745e-53	1.99003198961611e-52	"f1_score ~ key + cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"all"	68677.2910609494	-137324.582121899	-137209.168418303
"fixed"	"cond"	"cutoff:methodscvi"	-3.66029679108589	0.0827720587681717	-44.2214056960655	0	0	"f1_score ~ key + cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"all"	68677.2910609494	-137324.582121899	-137209.168418303
"fixed"	"cond"	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-0.504974118749941	0.0515638154586498	-9.79318761147323	1.20437871310593e-22	2.40875742621186e-22	"f1_score ~ key + cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"all"	68677.2910609494	-137324.582121899	-137209.168418303
"fixed"	"cond"	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-0.659880480657115	0.0518952831401948	-12.7156157694419	4.84279534121761e-37	1.12998557961744e-36	"f1_score ~ key + cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"all"	68677.2910609494	-137324.582121899	-137209.168418303
"fixed"	"cond"	"methodscvi:referencewhole cortex"	0.323034950001734	0.0509900042138079	6.33526031194673	2.36940892099756e-10	3.01561135399689e-10	"f1_score ~ key + cutoff + method + reference + method:cutoff + method:reference + subsample_ref"	"all"	68677.2910609494	-137324.582121899	-137209.168418303
