"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"	"key"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	0.862704833008607	0.0328236048019976	Inf	1	-3.88155275922905	0.00262857935473559	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	0.929712889234599	0.0355754624730149	Inf	1	-1.90459856995166	0.547661792676633	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex seurat"	1.38172257519032	0.0539704391898352	Inf	1	8.27774793838971	9.17044218340379e-14	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	1.62346992054005	0.0643568745364909	Inf	1	12.2236821146532	0	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	2.1036945453333	0.0849434979015546	Inf	1	18.4182118359294	0	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	2.85965991879947	0.117502548550587	Inf	1	25.5709553403029	0	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex scvi"	1.59043789912971	0.0629203784943851	Inf	1	11.7287615175706	0	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	1.07767205382669	0.0409054029927148	Inf	1	1.97072567313746	0.501857163412172	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex seurat"	1.60161682457682	0.0622375650708225	Inf	1	12.1210294870713	0	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	1.88183705297946	0.0741595937040275	Inf	1	16.0436230967019	0	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	2.43848702921583	0.0979387789906196	Inf	1	22.1935904216894	0	"all"
