query	count
pineda 191113 FTLD 204 snRNA-D4	7440
pineda 201025 FTLD 237 snRNA-C9	7440
pineda 191113 FTLD 226 snRNA-E4	7440
pineda 191114 PN 306 snRNA-E10	7440
pineda 191112 ALS 114 snRNA-B12	7440
pineda 201025 FTLD 239 snRNA-C11	7440
pineda 191113 FTLD 214 snRNA-D9	7440
pineda 191112 ALS 115 snRNA-C1	7440
pineda 200721 FTLD 214 snRNA-A12	7440
pineda 191114 PN 318 snRNA-F3	7440
pineda 191113 FTLD 218 snRNA-H4	7440
pineda 191112 ALS 120 snRNA-A1	7440
pineda 201025 FTLD 240 snRNA-C12	7440
pineda 191112 ALS 111 snRNA-B10	7440
pineda 200721 PN 302 snRNA-B4	7440
pineda 191113 FTLD 211 snRNA-D7	7440
pineda 191112 ALS 117 snRNA-C3	7440
pineda 191113 FTLD 207 snRNA-D5	7440
pineda 201019 ALS 113 snRNA-B7	7440
pineda 191114 PN 303 snRNA-E8	7440
pineda 201019 ALS 106 snRNA-B5	7440
pineda 191112 ALS 116 snRNA-C2	7440
pineda 201019 ALS 101 snRNA-B1	7440
pineda 191113 FTLD 228 snRNA-E5	7440
pineda 191112 ALS 129 snRNA-A2	7440
pineda 191112 ALS 118 snRNA-C4	7440
pineda 201019 ALS 103 snRNA-B3	7440
pineda 191112 ALS 110 snRNA-B9	7440
pineda 201025 FTLD 238 snRNA-C10	7440
pineda 201019 ALS 108 snRNA-B6	7440
pineda 201019 PN 311 snRNA-B8	7440
pineda 191113 FTLD 229 snRNA-E6	7440
pineda 200721 FTLD 210 snRNA-A11	7440
pineda 200721 FTLD 206 snRNA-A10	7440
pineda 201019 ALS 104 snRNA-B4	7440
pineda 191114 PN 301 snRNA-E7	7440
pineda 191113 FTLD 209 snRNA-D6	7440
pineda 191113 FTLD 225 snRNA-H5	7440
pineda 201025 FTLD 234 snRNA-C6	7440
pineda 191112 ALS 126 snRNA-A6	7440
pineda 191113 FTLD 217 snRNA-D11	7440
