"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"	"key"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	0.539970657737686	0.0155462613508335	Inf	1	-21.4039741742017	0	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	0.688445820492714	0.0201452889539641	Inf	1	-12.7578050146447	0	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex seurat"	0.64535330398335	0.0187457741728147	Inf	1	-15.0773834585982	0	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	1.19641985379902	0.0359086295245106	Inf	1	5.97511887493027	6.42207601542211e-08	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.848674349317149	0.0250708637560824	Inf	1	-5.55426667816157	7.76071529484668e-07	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	2.91484038373371	0.089904707715137	Inf	1	34.6849483575699	0	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex scvi"	0.943855653115365	0.0280523917725022	Inf	1	-1.94414437903242	0.520218318419515	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	1.27496894623329	0.0358083022061956	Inf	1	8.64932881101997	6.79456491070596e-14	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex seurat"	1.19516365331255	0.0332866430845439	Inf	1	6.40129164492431	4.30977609156002e-09	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	2.21571271819039	0.0642483563252219	Inf	1	27.4367127544923	0	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	1.57170456793493	0.0446619105595592	Inf	1	15.9120623247864	0	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	5.39814588434493	0.162792458539751	Inf	1	55.9090627103428	0	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex scvi"	1.7479758197785	0.0500382495476523	Inf	1	19.508513295147	0	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex seurat"	0.937406088864738	0.0266047296377967	Inf	1	-2.27751643926047	0.305989377461404	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	1.73785622366442	0.0512160591032044	Inf	1	18.7525212377816	0	"all"
