"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"seurat"	0.897368457335351	0.0206317824407761	Inf	0.849316693802381	0.931335716582533
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.927486983427232	0.0150602619784473	Inf	0.891854120690494	0.952010956718301
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.839988226176184	0.030100343191409	Inf	0.771924732027046	0.890618033203182
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.692499640464259	0.0475148234593757	Inf	0.592545569794263	0.777155154010571
"whole cortex"	"seurat"	0.926655287434605	0.0152267856997122	Inf	0.890640990830393	0.951455737510147
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"scvi"	0.674306900438566	0.0490516398142753	Inf	0.571988897094973	0.762328700441814
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.950187376065174	0.0106156736757201	Inf	0.924756545858676	0.967326758873754
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.878044685567514	0.0239933405164741	Inf	0.822719795147498	0.917828456691398
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.415359925782449	0.0542205692506839	Inf	0.314433519383752	0.523924435762731
"whole cortex"	"scvi"	0.941347698681483	0.0123828900351813	Inf	0.911823723545863	0.961404620065756
