"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"seurat"	0.676266406679871	0.0792330834512602	Inf	0.506833312267772	0.809381659603571
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.720552547352729	0.0728137395866565	Inf	0.559331622461319	0.839694696267776
"BrainAgingSpatialAtlas snRNAseq"	"seurat"	0.556141012435755	0.0896428450855376	Inf	0.380778460808838	0.718548952134324
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.702689935229554	0.0755657356382631	Inf	0.53773217307214	0.827650150517898
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.653116590113161	0.0819211185662219	Inf	0.481022880002033	0.792733027723837
"whole cortex"	"seurat"	0.650314308400253	0.0822421712508432	Inf	0.47791239824501	0.790716563097065
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"scvi"	0.709386744625275	0.0747725366161632	Inf	0.545259521553307	0.83247631090299
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.67876378148482	0.0789083523917572	Inf	0.509698733822135	0.811133628853229
"BrainAgingSpatialAtlas snRNAseq"	"scvi"	0.630596468903943	0.084553542246689	Inf	0.455953094022807	0.776641121611891
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.694956035484657	0.0767001899906194	Inf	0.528535075235336	0.822374850293994
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.752294175999937	0.0675003664583705	Inf	0.598911427290279	0.86066685912296
"whole cortex"	"scvi"	0.715015093942907	0.073795952963733	Inf	0.552321523425281	0.836125771549604
