"effect"	"component"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	"(Intercept)"	0.855591167861077	0.0287784640156762	29.7302582721239	3.12144088675663e-194	3.90180110844579e-194	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	183140.067933365	-366258.135866729	-366170.902300458
"fixed"	"cond"	"methodscvi"	-2.86728717409867	0.0384139326677306	-74.641854529706	0	0	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	183140.067933365	-366258.135866729	-366170.902300458
"fixed"	"cond"	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-2.90269511847293	0.0383924739482433	-75.6058367685822	0	0	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	183140.067933365	-366258.135866729	-366170.902300458
"fixed"	"cond"	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-2.90266061603501	0.0383923816400382	-75.6051198711756	0	0	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	183140.067933365	-366258.135866729	-366170.902300458
"fixed"	"cond"	"referencewhole cortex"	-2.57408044473476	0.0385537708625775	-66.7659839010277	0	0	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	183140.067933365	-366258.135866729	-366170.902300458
"fixed"	"cond"	"subsample_ref100"	-0.0536030392455721	0.0194869773975701	-2.7507108030133	0.00594661163442203	0.00660734626046892	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	183140.067933365	-366258.135866729	-366170.902300458
"fixed"	"cond"	"subsample_ref50"	-0.0293724428856819	0.0194572175015954	-1.50959112644311	0.131147786977957	0.131147786977957	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	183140.067933365	-366258.135866729	-366170.902300458
"fixed"	"cond"	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	2.86728245460658	0.049368251633377	58.0794814428483	0	0	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	183140.067933365	-366258.135866729	-366170.902300458
"fixed"	"cond"	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	2.86726885986409	0.0493681007278713	58.0793836017545	0	0	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	183140.067933365	-366258.135866729	-366170.902300458
"fixed"	"cond"	"methodscvi:referencewhole cortex"	2.56436055539095	0.0495232235739569	51.7809700243238	0	0	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	183140.067933365	-366258.135866729	-366170.902300458
