"effect"	"component"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	"(Intercept)"	-0.742134103517389	0.0287957159360429	-25.7723789596242	1.80953581986497e-146	4.52383954966243e-146	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	120907.309133938	-241792.618267875	-241706.351176518
"fixed"	"cond"	"methodscvi"	0.380511247982418	0.0369568927950562	10.2960833339679	7.33887834768013e-25	1.22314639128002e-24	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	120907.309133938	-241792.618267875	-241706.351176518
"fixed"	"cond"	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-1.65580019491512	0.0343208258254988	-48.244765534894	0	0	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	120907.309133938	-241792.618267875	-241706.351176518
"fixed"	"cond"	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-1.65582342677739	0.0343209399632993	-48.2452819925103	0	0	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	120907.309133938	-241792.618267875	-241706.351176518
"fixed"	"cond"	"referencewhole cortex"	-1.30931117009565	0.0346517116734241	-37.7848916219576	0	0	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	120907.309133938	-241792.618267875	-241706.351176518
"fixed"	"cond"	"subsample_ref100"	-0.0668023504301319	0.0202695574586595	-3.29569851568678	0.000981773123120381	0.000981773123120381	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	120907.309133938	-241792.618267875	-241706.351176518
"fixed"	"cond"	"subsample_ref50"	-0.093791489174935	0.0203474267311557	-4.60950126097876	4.03636085407774e-06	4.48484539341971e-06	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	120907.309133938	-241792.618267875	-241706.351176518
"fixed"	"cond"	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-0.380539896191951	0.0484897637080762	-7.84783977259453	4.23264483821538e-15	5.3285307764681e-15	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	120907.309133938	-241792.618267875	-241706.351176518
"fixed"	"cond"	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-0.38049680136833	0.048489779834591	-7.84694842225074	4.26282462117448e-15	5.3285307764681e-15	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	120907.309133938	-241792.618267875	-241706.351176518
"fixed"	"cond"	"methodscvi:referencewhole cortex"	0.601285959358533	0.0499678180401218	12.0334643965388	2.37002863451529e-33	4.74005726903058e-33	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	120907.309133938	-241792.618267875	-241706.351176518
