metric	stat	class	family	global	subclass
weighted_f1	mean	0.9354968223950062	0.983936538071093	0.9861449644024256	0.9272325358346261
weighted_f1	std	0.07265148016347803	0.05020282897818966	0.03995472487551993	0.07537489823766096
weighted_precision	mean	0.9717483237323133	0.9889251684983623	0.9888567861289949	0.9746286527003678
weighted_precision	std	0.03849663229691682	0.03383437305562629	0.028421852102158546	0.03994693999024779
weighted_recall	mean	0.9266599396351201	0.9828171397974715	0.9861933345942598	0.9152878384434775
weighted_recall	std	0.08049409386633469	0.05148126335751043	0.039633102047026324	0.08396911386421348
overall_accuracy	mean	0.9266599396351201	0.9828171397974715	0.9861933345942598	0.9152878384434775
overall_accuracy	std	0.08049409386633469	0.05148126335751043	0.039633102047026324	0.08396911386421348
macro_f1	mean	0.8907116840241701	0.9792840624245589	0.982897929155391	0.8511951008947017
macro_f1	std	0.10978084620108816	0.0662848997580165	0.04983898056120862	0.11652376470354604
macro_precision	mean	0.9411138945627543	0.9868286194901841	0.9848384428307101	0.9489757387766944
macro_precision	std	0.06627061367662819	0.04696596734075222	0.04421652563632629	0.06302408734450245
macro_recall	mean	0.9027839954756578	0.9797457711416897	0.9845622756063911	0.851244117419634
macro_recall	std	0.09774176469117406	0.06338259531755695	0.04639545185109656	0.11361088428572434
micro_f1	mean	0.9266599396351201	0.9828171397974715	0.9861933345942598	0.9152878384434775
micro_f1	std	0.08049409386633469	0.05148126335751043	0.039633102047026324	0.08396911386421348
micro_precision	mean	0.9266599396351201	0.9828171397974715	0.9861933345942598	0.9152878384434775
micro_precision	std	0.08049409386633469	0.05148126335751043	0.039633102047026324	0.08396911386421348
micro_recall	mean	0.9266599396351201	0.9828171397974715	0.9861933345942598	0.9152878384434775
micro_recall	std	0.08049409386633469	0.05148126335751043	0.039633102047026324	0.08396911386421348
