method	cutoff	reference	key	weighted_f1_mean	weighted_f1_std	weighted_f1_count	weighted_precision_mean	weighted_precision_std	weighted_recall_mean	weighted_recall_std
scvi	0.0	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	class	0.6947822433171259	0.2181021866485324	243	0.9257494957044092	0.05886870365604633	0.6412319912227059	0.24111136205385986
scvi	0.0	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	family	0.7732678205256351	0.16801548109885464	243	0.9590525427676369	0.059074978028183844	0.7065668373867596	0.21496499934147895
scvi	0.0	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	global	0.7649539794798346	0.20778425463287983	243	0.9295161692357184	0.035443289455843206	0.7357910874998466	0.2342925958759
scvi	0.0	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	subclass	0.6169320375667313	0.23605807872124032	243	0.9209143587564959	0.07180668172839902	0.5864489340535713	0.24429592953420945
scvi	0.0	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	class	0.8031723969844458	0.16227513572723243	243	0.9567385745008002	0.04301762702649416	0.7514313766822481	0.16283460383895793
scvi	0.0	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	family	0.9278491519277752	0.07538198654253624	243	0.9699979673085338	0.05414967790910492	0.9048586332005158	0.06903835588898039
scvi	0.0	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	global	0.9410076133807003	0.039283915067700834	243	0.961933953741491	0.020641138374079025	0.9333341321087117	0.0476376817879573
scvi	0.0	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	subclass	0.7413809966406026	0.1724914305877736	243	0.9441419356158416	0.05253815580288678	0.7231574049088616	0.1715406401843577
scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions 10x	class	0.8335590921065982	0.10317172704692924	243	0.9444068590701555	0.06498727117610174	0.785620655462587	0.10513932698475698
scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions 10x	family	0.9299570029390123	0.09477325561083769	243	0.9734671938304781	0.05525290557714042	0.9125681094678925	0.08476564216505811
scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions 10x	global	0.950734724324457	0.04195918622608494	243	0.9672570306026105	0.02216373720733036	0.9450797499815567	0.05017583082608894
scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions 10x	subclass	0.7086836269617298	0.14478632370236452	243	0.9008158334188793	0.07599645371706339	0.7114939274975568	0.14575878866345815
scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	class	0.7807366092197233	0.127033483060934	243	0.9440747520541564	0.06028020606675197	0.72114880097988	0.13948338643486302
scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	family	0.8996515767650296	0.09649170021861746	243	0.9633009408999643	0.0661793299087307	0.8685754768934107	0.0912743409341094
scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	global	0.9125974937558624	0.05661521831201559	243	0.9494203208834773	0.024772820673546213	0.9009850877163655	0.07115436622997506
scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	subclass	0.6552094372234145	0.1780219351905531	243	0.8876553012047697	0.091454830960436	0.6445624427950282	0.18222506916501832
scvi	0.0	whole cortex	class	0.8368316929820493	0.10710638698904526	243	0.9395687639549702	0.06429386488456872	0.7920706482539397	0.11064756011547375
scvi	0.0	whole cortex	family	0.9348866240074405	0.09240315664509652	243	0.9730204280688216	0.054179888900355425	0.9208932410682587	0.08031299283600657
scvi	0.0	whole cortex	global	0.9577093851825248	0.03480434502327162	243	0.9698926858210388	0.020334448942457457	0.9531925153813383	0.04093254056731363
scvi	0.0	whole cortex	subclass	0.7435680485633333	0.1468994883892507	243	0.9198006517195579	0.06777424120168919	0.7383767008550423	0.14584392998332857
scvi	0.05	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	class	0.6947822433171259	0.2181021866485324	243	0.9257494957044092	0.05886870365604637	0.6412319912227059	0.24111136205385983
scvi	0.05	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	family	0.7732678205256351	0.16801548109885475	243	0.9590525427676369	0.059074978028183844	0.7065668373867596	0.21496499934147892
scvi	0.05	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	global	0.7649539794798346	0.20778425463287992	243	0.9295161692357184	0.035443289455843185	0.7357910874998466	0.23429259587590004
scvi	0.05	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	subclass	0.6169320375667313	0.23605807872124035	243	0.9209143587564959	0.07180668172839906	0.5864489340535713	0.24429592953420942
scvi	0.05	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	class	0.8031723969844458	0.16227513572723254	243	0.9567385745008002	0.04301762702649417	0.7514313766822481	0.16283460383895798
scvi	0.05	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	family	0.9278491519277752	0.07538198654253622	243	0.9699979673085338	0.05414967790910491	0.9048586332005158	0.06903835588898036
scvi	0.05	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	global	0.9410076133807003	0.03928391506770082	243	0.961933953741491	0.02064113837407904	0.9333341321087117	0.047637681787957284
scvi	0.05	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	subclass	0.7413809966406026	0.17249143058777364	243	0.9441419356158416	0.052538155802886836	0.7231574049088616	0.17154064018435772
scvi	0.05	Single-cell RNA-seq for all cortical  hippocampal regions 10x	class	0.8335590921065982	0.10317172704692928	243	0.9444068590701555	0.06498727117610176	0.785620655462587	0.10513932698475696
scvi	0.05	Single-cell RNA-seq for all cortical  hippocampal regions 10x	family	0.9299570029390123	0.09477325561083771	243	0.9734671938304781	0.055252905577140375	0.9125681094678925	0.08476564216505814
scvi	0.05	Single-cell RNA-seq for all cortical  hippocampal regions 10x	global	0.950734724324457	0.04195918622608494	243	0.9672570306026105	0.022163737207330354	0.9450797499815567	0.05017583082608895
scvi	0.05	Single-cell RNA-seq for all cortical  hippocampal regions 10x	subclass	0.7086836269617298	0.1447863237023645	243	0.9008158334188793	0.0759964537170634	0.7114939274975568	0.14575878866345818
scvi	0.05	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	class	0.7807366092197233	0.12703348306093404	243	0.9440747520541564	0.06028020606675197	0.72114880097988	0.139483386434863
scvi	0.05	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	family	0.8996515767650296	0.0964917002186175	243	0.9633009408999643	0.0661793299087307	0.8685754768934107	0.0912743409341094
scvi	0.05	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	global	0.9125974937558624	0.05661521831201555	243	0.9494203208834773	0.024772820673546227	0.9009850877163655	0.0711543662299751
scvi	0.05	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	subclass	0.6552094372234145	0.17802193519055315	243	0.8876553012047697	0.09145483096043608	0.6445624427950282	0.18222506916501832
scvi	0.05	whole cortex	class	0.8368316929820493	0.10710638698904523	243	0.9395687639549702	0.06429386488456873	0.7920706482539397	0.11064756011547379
scvi	0.05	whole cortex	family	0.9348866240074405	0.0924031566450965	243	0.9730204280688216	0.054179888900355404	0.9208932410682587	0.08031299283600661
scvi	0.05	whole cortex	global	0.9577093851825248	0.034804345023271586	243	0.9698926858210388	0.02033444894245746	0.9531925153813383	0.04093254056731366
scvi	0.05	whole cortex	subclass	0.7435680485633333	0.14689948838925068	243	0.9198006517195579	0.06777424120168919	0.7383767008550423	0.14584392998332862
scvi	0.1	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	class	0.6947822433171259	0.21810218664853234	243	0.9257494957044092	0.058868703656046385	0.6412319912227059	0.24111136205385983
scvi	0.1	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	family	0.7732678205256351	0.1680154810988547	243	0.9590525427676369	0.0590749780281839	0.7065668373867596	0.2149649993414787
scvi	0.1	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	global	0.7649539794798346	0.20778425463287978	243	0.9295161692357184	0.03544328945584321	0.7357910874998466	0.23429259587590004
scvi	0.1	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	subclass	0.6169320375667313	0.2360580787212404	243	0.9209143587564959	0.07180668172839903	0.5864489340535713	0.24429592953420942
scvi	0.1	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	class	0.8031723969844458	0.16227513572723248	243	0.9567385745008002	0.04301762702649416	0.7514313766822481	0.1628346038389579
scvi	0.1	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	family	0.9278491519277752	0.07538198654253628	243	0.9699979673085338	0.0541496779091049	0.9048586332005158	0.06903835588898037
scvi	0.1	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	global	0.9410076133807003	0.039283915067700785	243	0.961933953741491	0.020641138374079035	0.9333341321087117	0.04763768178795731
scvi	0.1	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	subclass	0.7413809966406026	0.17249143058777364	243	0.9441419356158416	0.05253815580288683	0.7231574049088616	0.17154064018435775
scvi	0.1	Single-cell RNA-seq for all cortical  hippocampal regions 10x	class	0.8335085528900965	0.10317299857507378	243	0.9444343489257068	0.06497511428128472	0.7855076565027687	0.10517279388558544
scvi	0.1	Single-cell RNA-seq for all cortical  hippocampal regions 10x	family	0.92989290893068	0.09475560602226635	243	0.9734844558122642	0.055236324165601085	0.9124302817806266	0.08477215333999254
scvi	0.1	Single-cell RNA-seq for all cortical  hippocampal regions 10x	global	0.9506726886856934	0.041987738216556686	243	0.9672580453672981	0.02216971990683853	0.9449219158562856	0.05024267983374157
scvi	0.1	Single-cell RNA-seq for all cortical  hippocampal regions 10x	subclass	0.7086325431032799	0.1447957605317537	243	0.9012313260781647	0.07569899611494293	0.7113860139001639	0.1457823538525446
scvi	0.1	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	class	0.7805934562064671	0.12710203303788523	243	0.944101646958712	0.06024845924768287	0.720935364549157	0.13958921968535037
scvi	0.1	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	family	0.8995017610147452	0.09649810593506557	243	0.9633425304887344	0.06615863697662987	0.868277503876227	0.0914072499504851
scvi	0.1	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	global	0.9125229743292961	0.056683835544905165	243	0.9495229641058407	0.02471944377758641	0.9006625666393613	0.07140472894381257
scvi	0.1	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	subclass	0.6551601990311455	0.17803001060019766	243	0.8877232461721067	0.09140953233616894	0.6444352953282976	0.1822663464302208
scvi	0.1	whole cortex	class	0.8365903993321362	0.10717458888142581	243	0.939642561171904	0.06423748780561246	0.7915636607233736	0.11080781559740674
scvi	0.1	whole cortex	family	0.9346207148724727	0.0923957305939178	243	0.9731682211583609	0.05406112348491182	0.9202749229323764	0.0804410466750478
scvi	0.1	whole cortex	global	0.9575224367585359	0.03483739833255897	243	0.9700946602021132	0.020241507405113008	0.9524914616543244	0.041198349815062006
scvi	0.1	whole cortex	subclass	0.7433378970694857	0.1469605023619864	243	0.9198621099224712	0.06774699430867462	0.7379003889079845	0.14596093999395873
scvi	0.15	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	class	0.6947822433171259	0.2181021866485325	243	0.9257494957044092	0.0588687036560464	0.6412319912227059	0.24111136205385986
scvi	0.15	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	family	0.7732678205256351	0.1680154810988547	243	0.9590525427676369	0.05907497802818386	0.7065668373867596	0.2149649993414787
scvi	0.15	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	global	0.7649539794798346	0.20778425463287978	243	0.9295161692357184	0.035443289455843324	0.7357910874998466	0.23429259587589996
scvi	0.15	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	subclass	0.6169320375667313	0.23605807872124024	243	0.9209143587564959	0.071806681728399	0.5864489340535713	0.24429592953420934
scvi	0.15	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	class	0.80316583766775	0.16227676643691363	243	0.9567449360003001	0.04301708131654737	0.7514214517597791	0.16283610048754676
scvi	0.15	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	family	0.9278378552877564	0.0753812038125345	243	0.9699984980488254	0.054150144033288376	0.9048378311888624	0.06903893136720009
scvi	0.15	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	global	0.9410001965642562	0.039285920017109295	243	0.961938970238163	0.020638809779521327	0.9333133300970582	0.04764648938711069
scvi	0.15	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	subclass	0.7413691278224329	0.1724983786314122	243	0.9441439247602823	0.05254421989785484	0.7231484070479691	0.17154430614002833
scvi	0.15	Single-cell RNA-seq for all cortical  hippocampal regions 10x	class	0.8261270334925129	0.10522134976767653	243	0.9456004547506824	0.06372205804066171	0.7717592958282953	0.10938567955364162
scvi	0.15	Single-cell RNA-seq for all cortical  hippocampal regions 10x	family	0.9219889299492762	0.09631343863897433	243	0.9750255405376242	0.053476856798569235	0.8969736576877222	0.08977951843605092
scvi	0.15	Single-cell RNA-seq for all cortical  hippocampal regions 10x	global	0.9430548696577861	0.04410389872128358	243	0.967515195570846	0.022790982893887812	0.9271531836228571	0.05618736266743311
scvi	0.15	Single-cell RNA-seq for all cortical  hippocampal regions 10x	subclass	0.70274692194265	0.14597379461014418	243	0.9036839918656258	0.07390212304095685	0.6993020928926674	0.14791800000738306
