label	method	cutoff	reference	key	label_f1_mean	label_f1_std	label_f1_count
Ambiguous GABAergic	scvi	0.0	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	class	0.682402477286994	0.37256779814793967	114
Ambiguous GABAergic	scvi	0.0	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	subclass	0.682402477286994	0.37256779814793967	114
Ambiguous GABAergic	scvi	0.0	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	class	0.7162567756261554	0.3894903221675791	114
Ambiguous GABAergic	scvi	0.0	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	subclass	0.7162567756261554	0.3894903221675791	114
Ambiguous GABAergic	scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions 10x	class	0.6942052673993405	0.3880852608577726	114
Ambiguous GABAergic	scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions 10x	subclass	0.6942052673993405	0.3880852608577726	114
Ambiguous GABAergic	scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	class	0.7087548446301681	0.3967214178947303	114
Ambiguous GABAergic	scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	subclass	0.7087548446301681	0.3967214178947303	114
Ambiguous GABAergic	scvi	0.0	whole cortex	class	0.6971275092817562	0.3867542326625456	114
Ambiguous GABAergic	scvi	0.0	whole cortex	subclass	0.6971275092817562	0.3867542326625456	114
Ambiguous GABAergic	scvi	0.05	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	class	0.682402477286994	0.37256779814793956	114
Ambiguous GABAergic	scvi	0.05	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	subclass	0.682402477286994	0.37256779814793956	114
Ambiguous GABAergic	scvi	0.05	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	class	0.7162567756261554	0.3894903221675791	114
Ambiguous GABAergic	scvi	0.05	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	subclass	0.7162567756261554	0.3894903221675791	114
Ambiguous GABAergic	scvi	0.05	Single-cell RNA-seq for all cortical  hippocampal regions 10x	class	0.6942052673993405	0.3880852608577726	114
Ambiguous GABAergic	scvi	0.05	Single-cell RNA-seq for all cortical  hippocampal regions 10x	subclass	0.6942052673993405	0.3880852608577726	114
Ambiguous GABAergic	scvi	0.05	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	class	0.7087548446301681	0.3967214178947303	114
Ambiguous GABAergic	scvi	0.05	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	subclass	0.7087548446301681	0.3967214178947303	114
