"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"seurat"	0.800047236651913	0.0234042868018942	Inf	0.75023042005184	0.842020310615582
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.54692244673054	0.0360226258165885	Inf	0.475849367947401	0.616132634250724
"BrainAgingSpatialAtlas snRNAseq"	"seurat"	0.547704461360105	0.0365930683755642	Inf	0.475489706479749	0.61796506475847
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.597145519330202	0.0350122774159659	Inf	0.527055037454662	0.663480842563458
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.244445588636166	0.0269345114494464	Inf	0.195558292292233	0.300981561980776
"whole cortex"	"seurat"	0.577975072246594	0.035672125771221	Inf	0.506957283028163	0.645908337100186
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"scvi"	0.584587013846392	0.0355076241507655	Inf	0.513760532523967	0.652083224629242
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.373943615450775	0.0336805841242203	Inf	0.310601484911755	0.441922819872479
"BrainAgingSpatialAtlas snRNAseq"	"scvi"	0.580304757333623	0.03547791980759	Inf	0.509628318045943	0.647833835504836
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.16685152806381	0.0192667143892784	Inf	0.132417200654501	0.208092549869751
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.350526304846524	0.0322106828097629	Inf	0.290277480677362	0.415951251421321
"whole cortex"	"scvi"	0.212467931636985	0.0233107375287372	Inf	0.170347961440525	0.261717117590452
