label	method	cutoff	reference	key	subsample_ref	label_f1_mean	label_f1_std	label_f1_count
Astrocyte	scvi	0.0	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	class	50	0.7083871690717573	0.21656080243390316	64
Astrocyte	scvi	0.0	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	class	100	0.8176394360067804	0.2023252223100736	64
Astrocyte	scvi	0.0	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	class	500	0.8878867638933687	0.1898703949733374	64
Astrocyte	scvi	0.0	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	family	50	0.7083871690717573	0.21656080243390316	64
Astrocyte	scvi	0.0	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	family	100	0.8176394360067804	0.2023252223100736	64
Astrocyte	scvi	0.0	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	family	500	0.8878867638933687	0.1898703949733374	64
Astrocyte	scvi	0.0	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	subclass	50	0.7083871690717573	0.21656080243390316	64
Astrocyte	scvi	0.0	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	subclass	100	0.8176394360067804	0.2023252223100736	64
Astrocyte	scvi	0.0	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	subclass	500	0.8878867638933687	0.1898703949733374	64
Astrocyte	scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions 10x	class	50	0.8867825053384519	0.18601681366207987	64
Astrocyte	scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions 10x	class	100	0.898408518116597	0.1815820046188642	64
Astrocyte	scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions 10x	class	500	0.8952783774165557	0.18036919260741943	64
Astrocyte	scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions 10x	family	50	0.8867825053384519	0.18601681366207987	64
Astrocyte	scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions 10x	family	100	0.898408518116597	0.1815820046188642	64
Astrocyte	scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions 10x	family	500	0.8952783774165557	0.18036919260741943	64
Astrocyte	scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions 10x	subclass	50	0.8867825053384519	0.18601681366207987	64
Astrocyte	scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions 10x	subclass	100	0.898408518116597	0.1815820046188642	64
Astrocyte	scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions 10x	subclass	500	0.8952783774165557	0.18036919260741943	64
Astrocyte	scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	class	50	0.7062594845873013	0.2656547555161632	64
Astrocyte	scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	class	100	0.7301039338512597	0.23166171791057044	64
Astrocyte	scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	class	500	0.8449403143060329	0.1954464723573897	64
Astrocyte	scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	family	50	0.7062594845873013	0.2656547555161632	64
Astrocyte	scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	family	100	0.7301039338512597	0.23166171791057044	64
Astrocyte	scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	family	500	0.8449403143060329	0.1954464723573897	64
Astrocyte	scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	subclass	50	0.7062594845873013	0.2656547555161632	64
Astrocyte	scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	subclass	100	0.7301039338512597	0.23166171791057044	64
Astrocyte	scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	subclass	500	0.8449403143060329	0.1954464723573897	64
Astrocyte	scvi	0.0	whole cortex	class	50	0.8807217479933547	0.18271967589311439	64
Astrocyte	scvi	0.0	whole cortex	class	100	0.9012923194915319	0.18288947738485237	64
Astrocyte	scvi	0.0	whole cortex	class	500	0.8475154034826913	0.19509070132983128	64
Astrocyte	scvi	0.0	whole cortex	family	50	0.8807217479933547	0.18271967589311439	64
Astrocyte	scvi	0.0	whole cortex	family	100	0.9012923194915319	0.18288947738485237	64
Astrocyte	scvi	0.0	whole cortex	family	500	0.8475154034826913	0.19509070132983128	64
Astrocyte	scvi	0.0	whole cortex	subclass	50	0.8807217479933547	0.18271967589311439	64
Astrocyte	scvi	0.0	whole cortex	subclass	100	0.9012923194915319	0.18288947738485237	64
Astrocyte	scvi	0.0	whole cortex	subclass	500	0.8475154034826913	0.19509070132983128	64
Astrocyte	scvi	0.05	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	class	50	0.7083871690717573	0.21656080243390316	64
Astrocyte	scvi	0.05	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	class	100	0.8176394360067804	0.2023252223100736	64
Astrocyte	scvi	0.05	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	class	500	0.8878867638933687	0.18987039497333744	64
Astrocyte	scvi	0.05	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	family	50	0.7083871690717573	0.21656080243390316	64
