query	reference	label	f1_score	accuracy	precision	recall	support	weighted_f1	weighted_precision	weighted_recall	key	cutoff	ref_region	disease	sex	dev_stage	query_region	treatment	genotype	strain	age	method	organism	census_version	subsample_ref	subsample_query	remove_unknown	ref_split	integration_method	dims	max_features	k_anchor	k_score	k_weight	normalization_method	subset_type	batch_correct	nmads	region_match	reference_acronym	study	disease_state
lim H5286Cin	Human Multiple Cortical Areas SMART-seq	Glia	0.5247148288973384	0.3556701030927835	1.0	0.3556701030927835	0.0515272244355909	0.6264122024726362	0.8326599186872572	0.6114209827357238	subclass	0.05	multiple regions	HD	female	late adult	cingulate cortex				50.0	seurat	homo_sapiens	2024-07-01	100		True	dataset_id	pcaproject	50	200	10	30	50	SCT	sample	True	5	False	HMCAS	lim	Disease
lim C5700Cin	Human Multiple Cortical Areas SMART-seq	Glia	0.5531914893617021	0.3823529411764705	1.0	0.3823529411764705	0.0126206384558277	0.7863817555688721	0.8868355066223338	0.7858203414996288	subclass	0.05	multiple regions	Control	male	late adult	cingulate cortex				75.0	seurat	homo_sapiens	2024-07-01	100		True	dataset_id	pcaproject	50	200	10	30	50	SCT	sample	True	5	False	HMCAS	lim	Control
lim H5263Cin	Human Multiple Cortical Areas SMART-seq	Glia	0.5775862068965517	0.406060606060606	1.0	0.406060606060606	0.0476603119584055	0.6043778302572813	0.8297847034524986	0.58578856152513	subclass	0.05	multiple regions	HD	female	late adult	cingulate cortex				55.0	seurat	homo_sapiens	2024-07-01	100		True	dataset_id	pcaproject	50	200	10	30	50	SCT	sample	True	5	False	HMCAS	lim	Disease
lim C5382Cin	Human Multiple Cortical Areas SMART-seq	Glia	0.0	0.0		0.0	0.004602991944764	0.9285299866920798	0.9496950364221532	0.9182968929804372	subclass	0.05	multiple regions	Control	male	late adult	cingulate cortex				62.0	seurat	homo_sapiens	2024-07-01	100		True	dataset_id	pcaproject	50	200	10	30	50	SCT	sample	True	5	False	HMCAS	lim	Control
lim H5109Cin	Human Multiple Cortical Areas SMART-seq	Glia	0.6666666666666666	0.5	1.0	0.5	0.0101010101010101	0.6848322374435927	0.8534173609700664	0.6723484848484849	subclass	0.05	multiple regions	HD	male	late adult	cingulate cortex				64.0	seurat	homo_sapiens	2024-07-01	100		True	dataset_id	pcaproject	50	200	10	30	50	SCT	sample	True	5	False	HMCAS	lim	Disease
lim C5596Cin	Human Multiple Cortical Areas SMART-seq	Glia	0.7	0.5384615384615384	1.0	0.5384615384615384	0.0157448526443278	0.6996761309178726	0.8520691516127302	0.707710940654017	subclass	0.05	multiple regions	Control	male	late adult	cingulate cortex				75.0	seurat	homo_sapiens	2024-07-01	100		True	dataset_id	pcaproject	50	200	10	30	50	SCT	sample	True	5	False	HMCAS	lim	Control
lim C5227Cin	Human Multiple Cortical Areas SMART-seq	Glia	0.5806451612903226	0.4090909090909091	1.0	0.4090909090909091	0.0328113348247576	0.5895713209140272	0.828430525614659	0.5917225950782998	subclass	0.05	multiple regions	Control	male	late adult	cingulate cortex				75.0	seurat	homo_sapiens	2024-07-01	100		True	dataset_id	pcaproject	50	200	10	30	50	SCT	sample	True	5	False	HMCAS	lim	Control
lim H5493Cin	Human Multiple Cortical Areas SMART-seq	Glia	0.0909090909090909	0.0476190476190476	1.0	0.0476190476190476	0.0099762470308788	0.8743832349262072	0.9096652416811094	0.8641330166270784	subclass	0.05	multiple regions	HD	female	late adult	cingulate cortex				48.0	seurat	homo_sapiens	2024-07-01	100		True	dataset_id	pcaproject	50	200	10	30	50	SCT	sample	True	5	False	HMCAS	lim	Disease
lim H5608Cin	Human Multiple Cortical Areas SMART-seq	Glia	0.6	0.4285714285714285	1.0	0.4285714285714285	0.0262261580381471	0.6361460073163436	0.8364845302487723	0.6267029972752044	subclass	0.05	multiple regions	HD	male	late adult	cingulate cortex				58.0	seurat	homo_sapiens	2024-07-01	100		True	dataset_id	pcaproject	50	200	10	30	50	SCT	sample	True	5	False	HMCAS	lim	Disease
lim H5575Cin	Human Multiple Cortical Areas SMART-seq	Glia	0.0	0.0		0.0	0.0063593004769475	0.7215612568070744	0.8321075314338937	0.7329093799682035	subclass	0.05	multiple regions	HD	male	late adult	cingulate cortex				71.0	seurat	homo_sapiens	2024-07-01	100		True	dataset_id	pcaproject	50	200	10	30	50	SCT	sample	True	5	False	HMCAS	lim	Disease
lim C5404Cin	Human Multiple Cortical Areas SMART-seq	Glia	0.5	0.3333333333333333	1.0	0.3333333333333333	0.0028355387523629	0.8519513146623751	0.9224308324352192	0.8289224952741021	subclass	0.05	multiple regions	Control	female	late adult	cingulate cortex				54.0	seurat	homo_sapiens	2024-07-01	100		True	dataset_id	pcaproject	50	200	10	30	50	SCT	sample	True	5	False	HMCAS	lim	Control
