metric	stat	class	family	global	subclass
weighted_f1	mean	0.7374178385368272	0.8507685800871602	0.9328602145281917	0.7266976641940682
weighted_f1	std	0.1456664947047182	0.09865657192028421	0.055991222444242775	0.14007146027636425
weighted_precision	mean	0.9178814510581099	0.9392034615066212	0.9744730354939677	0.9156500352720578
weighted_precision	std	0.06385033060153818	0.043289819374929456	0.025961130586325293	0.06307666482868161
weighted_recall	mean	0.7438763337752676	0.8507309390509056	0.9058056022185574	0.7315347092072979
weighted_recall	std	0.134828115364279	0.09624768690979178	0.07513570134896047	0.12707072317934032
overall_accuracy	mean	0.7438763337752676	0.8507309390509056	0.9058056022185574	0.7315347092072979
overall_accuracy	std	0.134828115364279	0.09624768690979178	0.07513570134896047	0.12707072317934032
macro_f1	mean	0.44827369188247157	0.6158990654671637	0.6685933130861746	0.43946356189454133
macro_f1	std	0.1206585540793013	0.14535501964413408	0.14339099471702707	0.11474240142773061
macro_precision	mean	0.5640871173120366	0.7037451218349122	0.6557845390898683	0.5555908742881732
macro_precision	std	0.14021716804433268	0.1542213163328143	0.14468821497550866	0.1303802748733572
macro_recall	mean	0.6620496204776019	0.7822939019954305	0.9062532500956846	0.6576632216871768
macro_recall	std	0.0922543582768491	0.08046315590376212	0.08673740181914562	0.08948392084308625
