label	key	cutoff	n_studies	n_studies_total	frac_studies	mean_f1	std_f1	min_f1	max_f1	mean_precision	std_precision	min_precision	max_precision	mean_recall	std_recall	min_recall	max_recall
Glutamatergic	subclass	0.0	1	9	0.1111111111111111	0.9920618523264112		0.9920618523264112	0.9920618523264112	0.9916720203597246		0.9916720203597246	0.9916720203597246	0.9932162540754292		0.9932162540754292	0.9932162540754292
Non-neuron	subclass	0.0	6	9	0.6666666666666666	0.9750794299201161	0.02708669803200876	0.925	0.9986111111111111	1.0	0.0	1.0	1.0	0.9720349661855483	0.026997693699957043	0.925	0.9983072916666667
Astrocyte	subclass	0.0	8	9	0.8888888888888888	0.9741791583781332	0.0132149152854056	0.9520071152135947	0.9909184226850078	0.9765301930301986	0.01635455261027751	0.9521141215486454	0.9942202778880846	0.9805199803994094	0.010790025381589864	0.9562694936092969	0.990435625740827
L2/3-6 IT	subclass	0.0	7	9	0.7777777777777778	0.955779372162967	0.02247004823446662	0.9152119054520038	0.9769511480339594	0.989983330800434	0.007791494721370889	0.9792152202260284	0.9973553337240416	0.9381054242135693	0.027996017128158204	0.8889806481647363	0.9671076142691574
Microglia	subclass	0.0	8	9	0.8888888888888888	0.9359806997260345	0.034036182089445366	0.8895306899460665	0.9894118270510323	0.9658753528104834	0.025438355729361203	0.9141584083685046	0.9864943998555676	0.943232213720555	0.04339269862399904	0.8830610021786491	0.9967482559528015
Oligodendrocyte	subclass	0.0	9	9	1.0	0.928890019302534	0.16030319022838846	0.5021848044152649	0.9963765911993732	0.9696657884036457	0.042904462655607	0.8594500985105137	0.9992313601731269	0.9229071893589248	0.19173745694403244	0.4125420979879386	0.9954698312919754
L5/6 NP	subclass	0.0	7	9	0.7777777777777778	0.9288267184440654	0.058989757407187676	0.8368686868686869	0.9997354497354498	0.9999397735485426	0.00015934421290441416	0.9995784148397976	1.0	0.9246985102639863	0.06298399450284235	0.8234848484848485	0.999537037037037
SST	subclass	0.0	7	9	0.7777777777777778	0.9022749247864008	0.023987181500190954	0.8705219220350799	0.9428199694278125	0.897720929310285	0.03933425179596853	0.8401254750726582	0.949531652841696	0.9476019435373038	0.02872081092758534	0.9152100465353478	0.9923600668337511
LAMP5	subclass	0.0	7	9	0.7777777777777778	0.8959643968221389	0.03266941292927328	0.8312393011811616	0.9226373626373626	0.9708339632183458	0.025791159677565425	0.9348138523385219	0.9977964743589743	0.8812278822724703	0.035664191922002236	0.8283806527521997	0.9168577297188408
GABAergic	subclass	0.0	2	9	0.2222222222222222	0.8912687013975839	0.12265709602587649	0.804537037037037	0.9780003657581307	0.9577386845620286	0.028726358675580623	0.9374260815437285	0.9780512875803287	0.9058031641164028	0.11034455956948411	0.8277777777777777	0.983828550455028
