"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"seurat"	0.119976874657301	0.0281422350920579	Inf	0.0748088990003073	0.186906915617403
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.869983186259667	0.0310957436980735	Inf	0.796083968240719	0.919799343858632
"BrainAgingSpatialAtlas snRNAseq"	"seurat"	0.119976607438641	0.0281421939997126	Inf	0.0748087070735356	0.186906567782899
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.119976605450566	0.0281421936939899	Inf	0.0748087056456246	0.186906565195051
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.119976810084459	0.0281422251621785	Inf	0.0748088526215934	0.186906831563911
"whole cortex"	"seurat"	0.262506803353266	0.0538187111017992	Inf	0.171102005485559	0.380335951488652
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"scvi"	0.115211634099853	0.0274117131219975	Inf	0.0713838537490905	0.180711900434023
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.115212380300093	0.0274118311837161	Inf	0.0713843853297512	0.180712880714869
"BrainAgingSpatialAtlas snRNAseq"	"scvi"	0.115212484756202	0.0274118477104598	Inf	0.0713844597425634	0.180713017938497
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.11521243037767	0.0274118391068442	Inf	0.0713844210041941	0.180712946501604
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.115212270752283	0.0274118138513746	Inf	0.0713843072897003	0.180712736802281
"whole cortex"	"scvi"	0.115212098133638	0.0274117865401401	Inf	0.0713841843190353	0.180712510033737
