label	key	metric	mean	std
Astrocyte	class	f1_score	0.98699796802196	0.05649593989699887
Astrocyte	class	precision	0.9908780678495245	0.05844458140537848
Astrocyte	class	recall	0.9861696155075069	0.06092882916332517
Astrocyte	subclass	f1_score	0.98699796802196	0.05649593989699887
Astrocyte	subclass	precision	0.9908780678495245	0.05844458140537848
Astrocyte	subclass	recall	0.9861696155075069	0.06092882916332517
Chandelier	class	f1_score	0.9774358974358974	0.10777008294133152
Chandelier	class	precision	0.9756410256410256	0.1212047236679423
Chandelier	class	recall	0.9858974358974358	0.10173900375818808
Chandelier	subclass	f1_score	0.9774358974358974	0.10777008294133152
Chandelier	subclass	precision	0.9756410256410256	0.1212047236679423
Chandelier	subclass	recall	0.9858974358974358	0.10173900375818808
Endothelial	subclass	f1_score	0.7861254190306163	0.35462288865546937
Endothelial	subclass	precision	0.9781039043970079	0.08112101309211604
Endothelial	subclass	recall	0.7694116489571035	0.3674998620735098
GABAergic	class	f1_score	0.9646715346822464	0.1094968676653549
GABAergic	class	precision	0.9947256348852094	0.028717061729103138
GABAergic	class	recall	0.9506163940183027	0.1449824699252073
GABAergic	family	f1_score	0.9765575896820272	0.07653128879117185
GABAergic	family	precision	0.9826604525735559	0.06254374780760992
GABAergic	family	recall	0.9756186718259681	0.09112867379910586
GABAergic	subclass	f1_score	0.9646715346822464	0.1094968676653549
GABAergic	subclass	precision	0.9947256348852094	0.028717061729103138
GABAergic	subclass	recall	0.9506163940183027	0.1449824699252073
Glutamatergic	class	f1_score	0.9570282885873883	0.09490431111273531
Glutamatergic	class	precision	0.9642713774626311	0.11834947029003212
Glutamatergic	class	recall	0.9642286894881772	0.08789800098316902
Glutamatergic	family	f1_score	0.9816028992057086	0.0624901913801066
Glutamatergic	family	precision	0.9806823558837908	0.07377072545432826
Glutamatergic	family	recall	0.9862078746629362	0.055500728846396535
Glutamatergic	subclass	f1_score	0.9570282885873883	0.09490431111273531
Glutamatergic	subclass	precision	0.9642713774626311	0.11834947029003212
Glutamatergic	subclass	recall	0.9642286894881772	0.08789800098316902
L2/3-6 IT	class	f1_score	0.9108791821387275	0.10408561360442246
L2/3-6 IT	class	precision	0.9352101968491139	0.13485878191671194
L2/3-6 IT	class	recall	0.9105309196088205	0.12335889823655012
L2/3-6 IT	subclass	f1_score	0.9108791821387275	0.10408561360442246
L2/3-6 IT	subclass	precision	0.9352101968491139	0.13485878191671194
L2/3-6 IT	subclass	recall	0.9105309196088205	0.12335889823655012
L5 ET	subclass	f1_score	0.28836386882112985	0.3992329334901096
L5 ET	subclass	precision	0.8531073446327684	0.3142294988278982
L5 ET	subclass	recall	0.28666632846320345	0.4233937980265625
L5/6 NP	subclass	f1_score	0.7080459770114943	0.44462503699073186
L5/6 NP	subclass	precision	0.875	0.3314871353917563
L5/6 NP	subclass	recall	0.7008301404853129	0.44688899997844256
L6 CT	subclass	f1_score	0.7027919815376261	0.37048062436755225
L6 CT	subclass	precision	0.9104030823947836	0.22224058169518204
L6 CT	subclass	recall	0.687085891267076	0.388848912073612
L6b	subclass	f1_score	0.6753142933212863	0.3641155234110164
L6b	subclass	precision	0.8670489148040169	0.2710468905954181
L6b	subclass	recall	0.6747668997668997	0.38979357266929415
LAMP5	class	f1_score	0.717576139283876	0.35269767446499006
LAMP5	class	precision	0.9754576881877496	0.10638523420525325
LAMP5	class	recall	0.6750552517657781	0.37526806276660246
LAMP5	subclass	f1_score	0.717576139283876	0.35269767446499006
LAMP5	subclass	precision	0.9754576881877496	0.10638523420525325
LAMP5	subclass	recall	0.6750552517657781	0.37526806276660246
Microglia	class	f1_score	0.9758230074019547	0.10377806145336974
Microglia	class	precision	0.9812531923266933	0.08851878939393093
Microglia	class	recall	0.9817413836163836	0.10172150292132205
Microglia	subclass	f1_score	0.9758230074019547	0.10377806145336974
Microglia	subclass	precision	0.9812531923266933	0.08851878939393093
Microglia	subclass	recall	0.9817413836163836	0.10172150292132205
Non-neuron	class	f1_score	1.0	0.0
Non-neuron	class	precision	1.0	0.0
Non-neuron	class	recall	1.0	0.0
Non-neuron	family	f1_score	0.9877593309752015	0.04767864330622641
Non-neuron	family	precision	0.9903319804560651	0.046640265844327074
Non-neuron	family	recall	0.9885970566761269	0.0555203320415512
Non-neuron	subclass	f1_score	1.0	0.0
Non-neuron	subclass	precision	1.0	0.0
Non-neuron	subclass	recall	1.0	0.0
OPC	class	f1_score	0.9806945756454277	0.10639708006471642
OPC	class	precision	0.9911777941417117	0.07498532786312934
OPC	class	recall	0.9785247776914444	0.10979350301292036
OPC	subclass	f1_score	0.9806945756454277	0.10639708006471642
OPC	subclass	precision	0.9911777941417117	0.07498532786312934
OPC	subclass	recall	0.9785247776914444	0.10979350301292036
Oligodendrocyte	class	f1_score	0.9817169130588624	0.07703167018351592
Oligodendrocyte	class	precision	0.9871420055280465	0.06239010895505964
Oligodendrocyte	class	recall	0.9821205906382809	0.0824848071260725
Oligodendrocyte	subclass	f1_score	0.9817169130588624	0.07703167018351592
Oligodendrocyte	subclass	precision	0.9871420055280465	0.06239010895505964
Oligodendrocyte	subclass	recall	0.9821205906382809	0.0824848071260725
PAX6	class	f1_score	0.8201058201058201	0.3322854325623959
PAX6	class	precision	0.846045197740113	0.2983886961898809
PAX6	class	recall	0.8888888888888888	0.3167939755409943
PAX6	subclass	f1_score	0.8201058201058201	0.3322854325623959
PAX6	subclass	precision	0.846045197740113	0.2983886961898809
PAX6	subclass	recall	0.8888888888888888	0.3167939755409943
PVALB	class	f1_score	0.8359075346919013	0.23387610396129851
PVALB	class	precision	0.9750379701599213	0.09156775737340832
PVALB	class	recall	0.7870673070993583	0.27391299207659114
PVALB	subclass	f1_score	0.8359075346919013	0.23387610396129851
PVALB	subclass	precision	0.9750379701599213	0.09156775737340832
PVALB	subclass	recall	0.7870673070993583	0.27391299207659114
Pericyte	subclass	f1_score	0.0	0.0
Pericyte	subclass	recall	0.0	0.0
SNCG	class	f1_score	0.4710257557121026	0.4316276036070609
SNCG	class	precision	0.8421052631578947	0.30732514444809866
SNCG	class	recall	0.46688631172026007	0.4488582020141648
SNCG	subclass	f1_score	0.4710257557121026	0.4316276036070609
SNCG	subclass	precision	0.8421052631578947	0.30732514444809866
SNCG	subclass	recall	0.46688631172026007	0.4488582020141648
SST	class	f1_score	0.8431668340283123	0.21290570215137536
SST	class	precision	0.8022765193579673	0.24955569543488942
SST	class	recall	0.9539929241162426	0.15866473507552106
SST	subclass	f1_score	0.8431668340283123	0.21290570215137536
SST	subclass	precision	0.8022765193579673	0.24955569543488942
SST	subclass	recall	0.9539929241162426	0.15866473507552106
VIP	class	f1_score	0.8839700576873939	0.18453310450713817
VIP	class	precision	0.9357433732433732	0.1372473894781866
VIP	class	recall	0.8789424620468933	0.20642698934070033
VIP	subclass	f1_score	0.8839700576873939	0.18453310450713817
VIP	subclass	precision	0.9357433732433732	0.1372473894781866
VIP	subclass	recall	0.8789424620468933	0.20642698934070033
VLMC	subclass	f1_score	0.8208707958707958	0.24523062767420425
VLMC	subclass	precision	0.7728896103896105	0.3025978747338848
VLMC	subclass	recall	0.9545454545454546	0.1810236338862138
Vascular	class	f1_score	0.9490501383134051	0.1909127232317068
Vascular	class	precision	0.9875595428818532	0.07364070547791317
Vascular	class	recall	0.948436536941562	0.19821082746465885
Vascular	subclass	f1_score	0.9654088050314465	0.11015960917518759
Vascular	subclass	precision	0.960377358490566	0.14052049212934345
Vascular	subclass	recall	0.9842767295597484	0.08180751161488717
deep layer non-IT	class	f1_score	0.6349586055007023	0.30237570021621796
deep layer non-IT	class	precision	0.6751678302549863	0.35008357675322993
deep layer non-IT	class	recall	0.8130872594836405	0.29781206162928
