method	cutoff	reference	key	weighted_f1_mean	weighted_f1_std	weighted_f1_count
scvi	0.0	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	class	0.6576948199742465	0.21427048968760576	285
scvi	0.0	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	family	0.774678789140834	0.14828991199780248	285
scvi	0.0	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	global	0.7913344540576741	0.13779270483136583	285
scvi	0.0	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	subclass	0.5960796392405379	0.2328703007525845	285
scvi	0.0	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	class	0.7921089784786046	0.22659453149062525	285
scvi	0.0	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	family	0.8826154096053114	0.14072249066935902	285
scvi	0.0	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	global	0.9074500785259454	0.09175805273788397	285
scvi	0.0	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	subclass	0.6638805093412742	0.22173378933100923	285
scvi	0.0	BrainAgingSpatialAtlas snRNAseq	class	0.5322710297867789	0.24602773105668002	285
scvi	0.0	BrainAgingSpatialAtlas snRNAseq	family	0.6323341685604384	0.32668484457649527	285
scvi	0.0	BrainAgingSpatialAtlas snRNAseq	global	0.7705343573368727	0.1862474266813382	285
scvi	0.0	BrainAgingSpatialAtlas snRNAseq	subclass	0.4445027227100593	0.21863435200878206	285
scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions 10x	class	0.8227615746460786	0.18659462551534786	285
scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions 10x	family	0.8905972093252212	0.16250301272905462	285
scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions 10x	global	0.9280612677168764	0.09284553694212315	285
scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions 10x	subclass	0.6234365444026861	0.215810210737915	285
