"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"seurat"	0.134961504322673	0.0222343010195625	Inf	0.0969960103838194	0.184746916703644
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.865038542673236	0.0222343130654708	Inf	0.815253096944528	0.903004052195413
"BrainAgingSpatialAtlas snRNAseq"	"seurat"	0.865038508496909	0.0222343167290103	Inf	0.815253055605671	0.903004024954642
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.865038551657929	0.022234312102356	Inf	0.815253107812192	0.903004059356805
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.865038564837739	0.0222343106895424	Inf	0.815253123754172	0.903004069861975
"whole cortex"	"seurat"	0.865038515453088	0.0222343159833419	Inf	0.815253064019694	0.903004030499174
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"scvi"	0.205057658352538	0.0302034834620682	Inf	0.15211159263695	0.270552318508175
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.889143603162098	0.0194014665124478	Inf	0.84504223180827	0.921854306370126
"BrainAgingSpatialAtlas snRNAseq"	"scvi"	0.905003409169734	0.0177221904455366	Inf	0.864135746707669	0.934509811624498
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.904965905737687	0.0177250722102126	Inf	0.864093578567878	0.934478397398187
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.85484175756891	0.0231261885522835	Inf	0.80342074867875	0.894577071830102
"whole cortex"	"scvi"	0.911990541892947	0.0169348435908182	Inf	0.872656392122633	0.940010290705769
