label	method	cutoff	reference	key	subsample_ref	f1_score_mean	f1_score_std	precision_mean	precision_std	recall_mean	recall_std	count
Astrocyte	scvi	0.0	Dissection Angular gyrus AnG	class	50	0.9924912261343146	0.043535621079816476	0.9899655977575987	0.05485525010511367	0.996176914973866	0.03557149709462755	511
Astrocyte	scvi	0.0	Dissection Angular gyrus AnG	class	100	0.9922591219012067	0.04318701976249983	0.9925208248086288	0.04792789698845895	0.993080945717991	0.04473313867484316	511
Astrocyte	scvi	0.0	Dissection Angular gyrus AnG	class	500	0.9934842965470426	0.041690488602717235	0.9916596151578709	0.05092265185342111	0.9961588774558284	0.03576072197378451	511
Astrocyte	scvi	0.0	Dissection Angular gyrus AnG	family	50	0.9924912261343146	0.043535621079816476	0.9899655977575987	0.05485525010511367	0.996176914973866	0.03557149709462755	511
Astrocyte	scvi	0.0	Dissection Angular gyrus AnG	family	100	0.9922591219012067	0.04318701976249983	0.9925208248086288	0.04792789698845895	0.993080945717991	0.04473313867484316	511
Astrocyte	scvi	0.0	Dissection Angular gyrus AnG	family	500	0.9935693812062786	0.04165926003441564	0.9918226940880731	0.05081534102146695	0.9961588774558284	0.03576072197378451	511
Astrocyte	scvi	0.0	Dissection Angular gyrus AnG	subclass	50	0.9924912261343146	0.043535621079816476	0.9899655977575987	0.05485525010511367	0.996176914973866	0.03557149709462755	511
Astrocyte	scvi	0.0	Dissection Angular gyrus AnG	subclass	100	0.9922591219012067	0.04318701976249983	0.9925208248086288	0.04792789698845895	0.993080945717991	0.04473313867484316	511
Astrocyte	scvi	0.0	Dissection Angular gyrus AnG	subclass	500	0.9934842965470426	0.041690488602717235	0.9916596151578709	0.05092265185342111	0.9961588774558284	0.03576072197378451	511
Astrocyte	scvi	0.0	Dissection Anterior cingulate cortex ACC	class	50	0.9908193888866244	0.04856266243627558	0.9905446323066132	0.05839142566944886	0.9927346179422578	0.04432897159194059	511
Astrocyte	scvi	0.0	Dissection Anterior cingulate cortex ACC	class	100	0.9869960152280604	0.053899624410449064	0.9944474698906608	0.0466355693631524	0.9822303599549232	0.06811084304027307	511
Astrocyte	scvi	0.0	Dissection Anterior cingulate cortex ACC	class	500	0.9877775884949999	0.055914899805084566	0.9844036487411646	0.07416560246188124	0.9943300774024845	0.04145484590097913	511
Astrocyte	scvi	0.0	Dissection Anterior cingulate cortex ACC	family	50	0.9909451135761864	0.04847218707900744	0.9907758101307459	0.05810892011606715	0.9927346179422578	0.04432897159194059	511
Astrocyte	scvi	0.0	Dissection Anterior cingulate cortex ACC	family	100	0.9870740094990267	0.05382644234430598	0.994585459754678	0.04629902918275833	0.9822303599549232	0.06811084304027307	511
Astrocyte	scvi	0.0	Dissection Anterior cingulate cortex ACC	family	500	0.9878555827659662	0.05584326502402809	0.9845416386051818	0.07397322277746211	0.9943300774024845	0.04145484590097913	511
Astrocyte	scvi	0.0	Dissection Anterior cingulate cortex ACC	subclass	50	0.9908193888866244	0.04856266243627558	0.9905446323066132	0.05839142566944886	0.9927346179422578	0.04432897159194059	511
Astrocyte	scvi	0.0	Dissection Anterior cingulate cortex ACC	subclass	100	0.9869960152280604	0.053899624410449064	0.9944474698906608	0.0466355693631524	0.9822303599549232	0.06811084304027307	511
Astrocyte	scvi	0.0	Dissection Anterior cingulate cortex ACC	subclass	500	0.9877775884949999	0.055914899805084566	0.9844036487411646	0.07416560246188124	0.9943300774024845	0.04145484590097913	511
Astrocyte	scvi	0.0	Dissection Dorsolateral prefrontal cortex DFC	class	50	0.9620071956062998	0.10781801181277742	0.9878822798668897	0.06352887681231376	0.9500503827803165	0.12733961390601184	511
Astrocyte	scvi	0.0	Dissection Dorsolateral prefrontal cortex DFC	class	100	0.8963812993916411	0.18163244391994457	0.9929340847112833	0.052683758977895484	0.8514166610510373	0.21479542879867472	511
Astrocyte	scvi	0.0	Dissection Dorsolateral prefrontal cortex DFC	class	500	0.8830082091721366	0.19171453046927783	0.9954239391327627	0.045513813228985935	0.8307045050199968	0.22584677149373647	511
Astrocyte	scvi	0.0	Dissection Dorsolateral prefrontal cortex DFC	family	50	0.9620789503355888	0.10777552038225222	0.9880012553795661	0.06320528499604544	0.9500503827803165	0.12733961390601184	511
Astrocyte	scvi	0.0	Dissection Dorsolateral prefrontal cortex DFC	family	100	0.8963812993916411	0.18163244391994457	0.9929340847112833	0.052683758977895484	0.8514166610510373	0.21479542879867472	511
Astrocyte	scvi	0.0	Dissection Dorsolateral prefrontal cortex DFC	family	500	0.8830082091721366	0.19171453046927783	0.9954239391327627	0.045513813228985935	0.8307045050199968	0.22584677149373647	511
Astrocyte	scvi	0.0	Dissection Dorsolateral prefrontal cortex DFC	subclass	50	0.9620071956062998	0.10781801181277742	0.9878822798668897	0.06352887681231376	0.9500503827803165	0.12733961390601184	511
Astrocyte	scvi	0.0	Dissection Dorsolateral prefrontal cortex DFC	subclass	100	0.8963812993916411	0.18163244391994457	0.9929340847112833	0.052683758977895484	0.8514166610510373	0.21479542879867472	511
Astrocyte	scvi	0.0	Dissection Dorsolateral prefrontal cortex DFC	subclass	500	0.8830082091721366	0.19171453046927783	0.9954239391327627	0.045513813228985935	0.8307045050199968	0.22584677149373647	511
Astrocyte	scvi	0.0	Dissection Primary auditory cortexA1	class	50	0.9846713525019435	0.05558911928549225	0.9888498308886284	0.06155906233490294	0.9835731803777551	0.06041850521327309	511
Astrocyte	scvi	0.0	Dissection Primary auditory cortexA1	class	100	0.9883997567240721	0.0486517393258848	0.9935593131347854	0.04784611417665255	0.9851519782904482	0.0591078892129683	511
Astrocyte	scvi	0.0	Dissection Primary auditory cortexA1	class	500	0.9865229938254108	0.052506771323079	0.98169741401166	0.06968645850752421	0.9940098104601118	0.042225021247071205	511
