label	key	reference	method	subsample_ref	mean_rank	median_rank	mean_norm_rank	n_studies	n_wins	mean_f1_across_studies	std_f1_across_studies	mean_support	total_samples	win_fraction
Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	500	5.833333333333333	5.25	0.13809523809523808	6	4	0.9431755346038777	0.05863041124838037	10.332539682539682	64	0.6666666666666666
Astrocyte	family	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	500	5.833333333333333	5.25	0.13809523809523808	6	4	0.9431755346038777	0.05863041124838037	10.332539682539682	64	0.6666666666666666
Astrocyte	subclass	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	500	5.833333333333333	5.25	0.13809523809523808	6	4	0.9431755346038777	0.05863041124838037	10.332539682539682	64	0.6666666666666666
CA1-ProS	subclass	whole cortex	seurat	100	1.0	1.0	0.0	1	1	0.9329853903592228		19.5	4	1.0
CA3	subclass	whole cortex	seurat	100	1.0	1.0	0.0	1	1	0.9427489177489178		11.5	4	1.0
CNS macrophage	family	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	100	10.166666666666666	11.5	0.2619047619047619	6	3	0.9826180748479582	0.016084142040991692	8.907142857142857	64	0.5
Cajal-Retzius cell	class	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	50	6.25	6.25	0.15	2	2	0.9920634920634921	0.011223917161691192	1.4444444444444444	11	1.0
Cajal-Retzius cell	subclass	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	50	6.25	6.25	0.15	2	2	0.9920634920634921	0.011223917161691192	1.4444444444444444	11	1.0
DG	subclass	whole cortex	seurat	500	1.0	1.0	0.0	1	1	0.9959016393442623		34.5	4	1.0
Endothelial	subclass	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	500	5.5	3.5	0.1285714285714286	6	2	0.9864013829240655	0.019469884472545763	27.807142857142853	64	0.3333333333333333
GABAergic	family	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	50	5.75	3.75	0.1357142857142857	4	2	0.9896677559912854	0.0123691311487873	6.245833333333334	26	0.5
Glutamatergic	family	whole cortex	seurat	500	9.0	5.0	0.22857142857142856	6	3	0.8919161076022153	0.15759822705835122	33.645370370370365	37	0.5
Hippocampal neuron	class	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	100	1.0	1.0	0.0	1	1	0.996318553408045		65.5	4	1.0
Macrophage	class	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_rf	500	2.25	2.25	0.03571428571428571	2	1	0.2626626539709839	0.08981170759295687	2.1319444444444446	34	0.5
Macrophage	subclass	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_rf	100	4.0	4.0	0.08571428571428572	2	0	0.24724005640651608	0.08001825168835637	2.1319444444444446	34	0.0
Microglia	class	whole cortex	seurat	500	3.25	3.5	0.1323529411764706	6	1	0.45948826293420114	0.39287174803357655	8.315873015873017	64	0.16666666666666666
Microglia	subclass	whole cortex	seurat	500	3.25	3.5	0.1323529411764706	6	1	0.45948826293420114	0.39287174803357655	8.315873015873017	64	0.16666666666666666
Neural stem cell	class	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	500	2.0	2.0	0.058823529411764705	2	1	0.5143744629855741	0.09190261686789077	3.702991452991453	31	0.5
Neural stem cell	family	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	500	2.0	2.0	0.058823529411764705	2	1	0.5143744629855741	0.09190261686789077	3.702991452991453	31	0.5
Neural stem cell	global	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	500	2.0	2.0	0.058823529411764705	2	1	0.5143744629855741	0.09190261686789077	3.702991452991453	31	0.5
Neural stem cell	subclass	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	100	2.0	2.0	0.058823529411764705	2	0	0.5548557237390169	0.15903717936694053	3.702991452991453	31	0.0
