study	label	key	reference	method	subsample_ref	mean_f1	n_samples	mean_support	rank	n_combos	norm_rank	is_best
GSE124952	Astrocyte	class	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	50	0.8811274509803921	12	6.833333333333333	8.0	36	0.2	False
GSE124952	Astrocyte	class	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	100	0.8688350406616661	12	6.833333333333333	17.0	36	0.45714285714285713	False
GSE124952	Astrocyte	class	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	500	0.8926047758284601	12	6.833333333333333	3.5	36	0.07142857142857142	False
GSE124952	Astrocyte	class	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_rf	50	0.7643475487838233	12	6.833333333333333	34.0	36	0.9428571428571428	False
GSE124952	Astrocyte	class	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_rf	100	0.8387488328664799	12	6.833333333333333	27.0	36	0.7428571428571429	False
GSE124952	Astrocyte	class	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_rf	500	0.8561507936507936	12	6.833333333333333	21.0	36	0.5714285714285714	False
GSE124952	Astrocyte	class	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	50	0.7977669999221724	12	6.833333333333333	32.0	36	0.8857142857142857	False
GSE124952	Astrocyte	class	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	100	0.7447871572871573	12	6.833333333333333	35.0	36	0.9714285714285714	False
GSE124952	Astrocyte	class	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	500	0.7366168165892768	12	6.833333333333333	36.0	36	1.0	False
GSE124952	Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	50	0.8596861471861472	12	6.833333333333333	20.0	36	0.5428571428571428	False
GSE124952	Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	100	0.8616469314998727	12	6.833333333333333	19.0	36	0.5142857142857142	False
GSE124952	Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	500	0.8692226890756303	12	6.833333333333333	15.0	36	0.4	False
GSE124952	Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_rf	50	0.8692226890756303	12	6.833333333333333	15.0	36	0.4	False
GSE124952	Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_rf	100	0.8735119047619048	12	6.833333333333333	12.5	36	0.32857142857142857	False
GSE124952	Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_rf	500	0.8735119047619048	12	6.833333333333333	12.5	36	0.32857142857142857	False
GSE124952	Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	50	0.8661084529505582	12	6.833333333333333	18.0	36	0.4857142857142857	False
GSE124952	Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	100	0.8840909090909091	12	6.833333333333333	7.0	36	0.17142857142857143	False
GSE124952	Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	500	0.8744500139236981	12	6.833333333333333	11.0	36	0.2857142857142857	False
GSE124952	Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_knn	50	0.8337885154061625	12	6.833333333333333	29.0	36	0.8	False
GSE124952	Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_knn	100	0.8553571428571429	12	6.833333333333333	22.5	36	0.6142857142857143	False
GSE124952	Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_knn	500	0.8553571428571429	12	6.833333333333333	22.5	36	0.6142857142857143	False
GSE124952	Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_rf	50	0.8326641767818238	12	6.833333333333333	30.0	36	0.8285714285714286	False
GSE124952	Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_rf	100	0.8133928571428571	12	6.833333333333333	31.0	36	0.8571428571428571	False
GSE124952	Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_rf	500	0.8476540616246498	12	6.833333333333333	25.0	36	0.6857142857142857	False
GSE124952	Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	50	0.8927015250544663	12	6.833333333333333	2.0	36	0.02857142857142857	False
GSE124952	Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	100	0.8851257674787086	12	6.833333333333333	5.0	36	0.11428571428571428	False
GSE124952	Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	500	0.8969907407407407	12	6.833333333333333	1.0	36	0.0	True
GSE124952	Astrocyte	class	whole cortex	scvi_knn	50	0.8692226890756303	12	6.833333333333333	15.0	36	0.4	False
GSE124952	Astrocyte	class	whole cortex	scvi_knn	100	0.8807967631497043	12	6.833333333333333	9.0	36	0.22857142857142856	False
GSE124952	Astrocyte	class	whole cortex	scvi_knn	500	0.8850859788359788	12	6.833333333333333	6.0	36	0.14285714285714285	False
GSE124952	Astrocyte	class	whole cortex	scvi_rf	50	0.8519432773109243	12	6.833333333333333	24.0	36	0.6571428571428571	False
GSE124952	Astrocyte	class	whole cortex	scvi_rf	100	0.8407096171802054	12	6.833333333333333	26.0	36	0.7142857142857143	False
GSE124952	Astrocyte	class	whole cortex	scvi_rf	500	0.8364340180516652	12	6.833333333333333	28.0	36	0.7714285714285715	False
GSE124952	Astrocyte	class	whole cortex	seurat	50	0.7742276600248736	12	6.833333333333333	33.0	36	0.9142857142857143	False
GSE124952	Astrocyte	class	whole cortex	seurat	100	0.8926047758284601	12	6.833333333333333	3.5	36	0.07142857142857142	False
GSE124952	Astrocyte	class	whole cortex	seurat	500	0.8748475466741721	12	6.833333333333333	10.0	36	0.2571428571428571	False
GSE124952	Astrocyte	family	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	50	0.8811274509803921	12	6.833333333333333	8.0	36	0.2	False
GSE124952	Astrocyte	family	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	100	0.8688350406616661	12	6.833333333333333	17.0	36	0.45714285714285713	False
GSE124952	Astrocyte	family	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	500	0.8926047758284601	12	6.833333333333333	3.5	36	0.07142857142857142	False
GSE124952	Astrocyte	family	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_rf	50	0.7643475487838233	12	6.833333333333333	34.0	36	0.9428571428571428	False
GSE124952	Astrocyte	family	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_rf	100	0.8387488328664799	12	6.833333333333333	27.0	36	0.7428571428571429	False
GSE124952	Astrocyte	family	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_rf	500	0.8561507936507936	12	6.833333333333333	21.0	36	0.5714285714285714	False
GSE124952	Astrocyte	family	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	50	0.7977669999221724	12	6.833333333333333	32.0	36	0.8857142857142857	False
GSE124952	Astrocyte	family	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	100	0.7447871572871573	12	6.833333333333333	35.0	36	0.9714285714285714	False
GSE124952	Astrocyte	family	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	500	0.7366168165892768	12	6.833333333333333	36.0	36	1.0	False
GSE124952	Astrocyte	family	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	50	0.8596861471861472	12	6.833333333333333	20.0	36	0.5428571428571428	False
GSE124952	Astrocyte	family	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	100	0.8616469314998727	12	6.833333333333333	19.0	36	0.5142857142857142	False
GSE124952	Astrocyte	family	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	500	0.8692226890756303	12	6.833333333333333	15.0	36	0.4	False
GSE124952	Astrocyte	family	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_rf	50	0.8692226890756303	12	6.833333333333333	15.0	36	0.4	False
GSE124952	Astrocyte	family	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_rf	100	0.8735119047619048	12	6.833333333333333	12.5	36	0.32857142857142857	False
