"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"seurat"	0.742345953958709	0.0366005784475182	Inf	0.664440161935375	0.807407303183138
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.416386775680527	0.0462953371413283	Inf	0.32937472900709	0.508940702759862
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.33686183750629	0.042634104541825	Inf	0.258960671834258	0.424764778360821
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.144661590649457	0.0242035880973301	Inf	0.103355369126279	0.198815548350763
"whole cortex"	"seurat"	0.0413005216045944	0.00790888518479643	Inf	0.0282996860196499	0.0599057115644228
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"scvi"	0.343273043897692	0.0445687958509071	Inf	0.261878698175739	0.435054596658902
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.0320642991278742	0.00617659840678219	Inf	0.0219352609572792	0.0466475428995789
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.0275416144109469	0.00533181353137042	Inf	0.0188113001837769	0.0401578344291403
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.0293330377083954	0.00566747069488671	Inf	0.0200475000612423	0.0427318783092507
"whole cortex"	"scvi"	0.0254464313458163	0.00493787561538748	Inf	0.0173669733586615	0.0371425363519403
