"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"Dissection Angular gyrus AnG"	"seurat"	0.651138938000898	0.0977907088765385	Inf	0.44529194175539	0.812724355917119
"Dissection Anterior cingulate cortex ACC"	"seurat"	0.646669382238396	0.0983651474762677	Inf	0.440448430258548	0.809721908882688
"Dissection Dorsolateral prefrontal cortex DFC"	"seurat"	0.640283206832752	0.0991568388837457	Inf	0.433593790957459	0.805399624090979
"Dissection Primary auditory cortexA1"	"seurat"	0.65227151058357	0.0976424900348716	Inf	0.446525357215964	0.813482236450125
"Dissection Primary somatosensory cortex S1"	"seurat"	0.643839556280224	0.0987197087141594	Inf	0.437402514430115	0.807810720912009
"Dissection Primary visual cortexV1"	"seurat"	0.655331235259691	0.0972373879718423	Inf	0.449868417621728	0.815524720868612
"Human Multiple Cortical Areas SMART-seq"	"seurat"	0.655992552941675	0.0971471789747314	Inf	0.450596845269881	0.815962934635186
"Single-nucleus transcriptome data from the dlPFC"	"seurat"	0.652310367592152	0.0976374218682347	Inf	0.446567640797608	0.813508264654099
"whole cortex"	"seurat"	0.554478990325662	0.106378987098637	Inf	0.348592577639633	0.743225354643684
"Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	"seurat"	0.652076451056238	0.0976686309062452	Inf	0.446311607249631	0.813352497415295
"Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	"seurat"	0.654548225444748	0.0973416760693285	Inf	0.449011447660271	0.815002682063064
"Dissection Angular gyrus AnG"	"scvi"	0.63190960684238	0.100141607339263	Inf	0.424724391290306	0.799671805835378
"Dissection Anterior cingulate cortex ACC"	"scvi"	0.648727557264118	0.098104689856847	Inf	0.442669850762277	0.811109412858514
"Dissection Dorsolateral prefrontal cortex DFC"	"scvi"	0.6396023769161	0.0992399827709621	Inf	0.432865956494214	0.804937577267579
"Dissection Primary auditory cortexA1"	"scvi"	0.651343348566624	0.0977665815086014	Inf	0.445508945830446	0.812864568314542
"Dissection Primary somatosensory cortex S1"	"scvi"	0.648021910472544	0.0981956644769527	Inf	0.441904623184711	0.810635834876435
"Dissection Primary visual cortexV1"	"scvi"	0.645456887903349	0.0985222175635014	Inf	0.439132358439927	0.808909670746528
"Human Multiple Cortical Areas SMART-seq"	"scvi"	0.649338846623819	0.0980264833744396	Inf	0.443331527901173	0.811520531669259
"Single-nucleus transcriptome data from the dlPFC"	"scvi"	0.649833483883324	0.0979621262944486	Inf	0.443869257328714	0.811851830576376
"whole cortex"	"scvi"	0.652204825640886	0.0976534088908292	Inf	0.44644804943459	0.813440480806989
"Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	"scvi"	0.644225560901774	0.0986743331166278	Inf	0.437811644585078	0.808075298237636
"Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	"scvi"	0.6465837336245	0.0983787425080141	Inf	0.440350173633397	0.809667828851501
