	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	66.08414458653894	6.0	643.16701784757	0.0	0.0	0.3927160142050492
reference	5.143689746433511	4.0	75.09180036251786	1.3819838691401613e-59	1.7768364031802076e-59	0.3927160142050492
method	0.7402421114528276	1.0	43.22664514646224	6.125818059454701e-11	6.891545316886539e-11	0.3927160142050492
strain	64.29308670844142	4.0	938.6031953322713	0.0	0.0	0.3927160142050492
age	52.25182292467408	3.0	1017.0866048981878	0.0	0.0	0.3927160142050492
treatment	9.907060487885015	4.0	144.6313920569328	2.1511298533663343e-109	3.2266947800495014e-109	0.3927160142050492
sex	64.00359958719416	2.0	1868.7540499566717	0.0	0.0	0.3927160142050492
genotype	72.4467845554144	4.0	1057.6375619298526	0.0	0.0	0.3927160142050492
subsample_ref	0.34943743933688465	1.0	20.40549700888844	6.6107232370724175e-06	6.6107232370724175e-06	0.3927160142050492
Residual	36.15018218467527	2111.0				0.3927160142050492
