	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	66.72754088108535	14.0	312.0171659631324	0.0	0.0	0.6180196808123657
reference	9.036799615455045	4.0	147.8958761039241	1.7514420115255024e-116	2.2518540148185033e-116	0.6180196808123657
method	3.2023416021519817	1.0	209.63754293027452	4.151147231934801e-46	4.670040635926651e-46	0.6180196808123657
strain	27.540140979341206	6.0	300.4805131232035	7.981203840003814e-308	1.4366166912006866e-307	0.6180196808123657
age	97.16611883282961	5.0	1272.1732368899684	0.0	0.0	0.6180196808123657
treatment	47.47748261192046	8.0	388.5072251735009	0.0	0.0	0.6180196808123657
sex	21.769161772013046	2.0	712.5463414755161	6.073135327979149e-258	9.109702991968723e-258	0.6180196808123657
genotype	58.97639542085057	5.0	772.164132558687	0.0	0.0	0.6180196808123657
subsample_ref	0.055903091703240905	1.0	3.659630433866824	0.05583247911008133	0.05583247911008133	0.6180196808123657
Residual	50.39424140271073	3299.0				0.6180196808123657
