	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	46.85346897079208	6.0	303.59689622576735	1.4e-322	3.46e-322	0.47331680313774926
reference	20.79456531758569	4.0	202.11413244722263	2.1505874554887772e-158	3.0722677935553963e-158	0.47331680313774926
method	1.059685156180394	1.0	41.19871567163233	1.5319861749120515e-10	1.9149827186400644e-10	0.47331680313774926
strain	42.81369032835134	4.0	416.1304526169074	3.3726813306798588e-301	5.621135551133098e-301	0.47331680313774926
age	99.70172430993048	3.0	1292.0765404893057	0.0	0.0	0.47331680313774926
treatment	0.171374376501632	4.0	1.6656844180829706	0.15504709294941857	0.15504709294941857	0.47331680313774926
sex	111.5883016601759	2.0	2169.1795367544582	0.0	0.0	0.47331680313774926
genotype	49.82139277459702	4.0	484.2422731209615	0.0	0.0	0.47331680313774926
label	44.83578169507475	1.0	1743.1372056100697	1.154173e-317	2.308346e-317	0.47331680313774926
subsample_ref	1.0225167315507766	1.0	39.75367197223996	3.1864100359158007e-10	3.540455595462001e-10	0.47331680313774926
Residual	105.20017962021313	4090.0				0.47331680313774926
