	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	60.420985988491	6.0	1247.8889111655774	0.0	0.0	0.4123264386392099
reference	6.531394476089047	4.0	202.3416518569921	4.9639835989774195e-147	7.445975398466129e-147	0.4123264386392099
method	0.3843357400646098	1.0	47.62666153272622	6.793169098417877e-12	6.793169098417877e-12	0.4123264386392099
strain	78.66188644363729	4.0	2436.9338124442047	0.0	0.0	0.4123264386392099
age	89.41795887684559	3.0	3693.54049808885	0.0	0.0	0.4123264386392099
treatment	2.268307130165964	4.0	70.27182530729702	6.24007417051447e-56	8.022952504947176e-56	0.4123264386392099
sex	76.45839923752102	2.0	4737.340197931253	0.0	0.0	0.4123264386392099
genotype	71.08370405550902	4.0	2202.1628231706222	0.0	0.0	0.4123264386392099
subsample_ref	0.7575703638200395	1.0	93.87767918439191	9.452357247170287e-22	1.0633901903066572e-21	0.4123264386392099
Residual	17.0352638872009	2111.0				0.4123264386392099
