	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	456.0560861851494	14.0	1438.7917869654482	0.0	0.0	0.583895844351429
reference	49.32257512466397	4.0	544.6198691971822	0.0	0.0	0.583895844351429
method	138.65631731453146	1.0	6124.172163220368	0.0	0.0	0.583895844351429
strain	268.14312150487035	6.0	1973.890879122417	0.0	0.0	0.583895844351429
age	603.276431322085	5.0	5329.102631579036	0.0	0.0	0.583895844351429
treatment	342.3158201597144	8.0	1889.9256246079867	0.0	0.0	0.583895844351429
sex	246.91423010695198	2.0	5452.853804323231	0.0	0.0	0.583895844351429
genotype	677.7949090106957	5.0	5987.369049647707	0.0	0.0	0.583895844351429
subsample_ref	0.4566779390598213	1.0	20.170551015016017	7.113272230598122e-06	7.113272230598122e-06	0.583895844351429
cutoff	392.4334076074002	1.0	17332.998577592243	0.0	0.0	0.583895844351429
Residual	602.4271024355096	26608.0				0.583895844351429
