	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	83.31986327408775	6.0	1998.7201055135426	0.0	0.0	0.43618570807118806
reference	4.431989443040991	4.0	159.47529302988013	2.2682674841992454e-119	2.916343908256173e-119	0.43618570807118806
method	0.42239431926521565	1.0	60.79568438029242	9.866527269541838e-15	9.866527269541838e-15	0.43618570807118806
strain	86.56969180037872	4.0	3115.018017258423	0.0	0.0	0.43618570807118806
age	81.65719494152792	3.0	3917.670309961452	0.0	0.0	0.43618570807118806
treatment	5.2337387408759195	4.0	188.32446017071968	3.6275582952693876e-138	5.441337442904081e-138	0.43618570807118806
sex	75.13279348802803	2.0	5406.973284410832	0.0	0.0	0.43618570807118806
genotype	78.18418708994945	4.0	2813.2842613265543	0.0	0.0	0.43618570807118806
subsample_ref	0.7492212922171575	1.0	107.83625426560077	1.1337457120762071e-24	1.275463926085733e-24	0.43618570807118806
Residual	14.666738553204217	2111.0				0.43618570807118806
