	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	280.9846474383191	6.0	597.3225759142431	0.0	0.0	0.523715924961131
reference	106.40086627590627	4.0	339.2835165703286	4.871877978969476e-283	6.95982568424211e-283	0.523715924961131
method	36.39710754492618	1.0	464.2420338499565	8.272696279008501e-102	1.0340870348760626e-101	0.523715924961131
strain	327.4408513462632	4.0	1044.1201035474946	0.0	0.0	0.523715924961131
age	422.15451265707196	3.0	1794.8483892843158	0.0	0.0	0.523715924961131
treatment	23.34779496638604	4.0	74.44978840508035	9.562518085773633e-63	1.0625020095304036e-62	0.523715924961131
sex	422.70871694803424	2.0	2695.806998397282	0.0	0.0	0.523715924961131
genotype	340.9141145178362	4.0	1087.0826871102558	0.0	0.0	0.523715924961131
label	1485.0104326811643	21.0	901.9610806858925	0.0	0.0	0.523715924961131
subsample_ref	0.0282260229330126	1.0	0.360020539482236	0.5485016367870901	0.5485016367870901	0.523715924961131
Residual	1565.6708886190486	19970.0				0.523715924961131
