	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	239.95158212377964	14.0	697.1993371768054	0.0	0.0	0.5165282474099675
reference	62.39392072812219	4.0	634.5175942025708	0.0	0.0	0.5165282474099675
method	131.66712364935947	1.0	5355.977348986086	0.0	0.0	0.5165282474099675
strain	189.5347264288448	6.0	1284.9875674641705	0.0	0.0	0.5165282474099675
age	696.8379738372521	5.0	5669.218405233747	0.0	0.0	0.5165282474099675
treatment	374.748463891818	8.0	1905.510111921618	0.0	0.0	0.5165282474099675
sex	241.40295792369417	2.0	4909.91501439941	0.0	0.0	0.5165282474099675
genotype	577.4840143622635	5.0	4698.1983271127465	0.0	0.0	0.5165282474099675
subsample_ref	0.3347437035822344	1.0	13.61676054287286	0.00022462205627064914	0.00022462205627064914	0.5165282474099675
cutoff	417.03308366013147	1.0	16964.141753485856	0.0	0.0	0.5165282474099675
Residual	654.1100900520738	26608.0				0.5165282474099675
