	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	101.19593846873398	6.0	943.4657505775393	0.0	0.0	0.45667074852708867
reference	3.1045176769625233	4.0	43.415864479308816	7.435205809872744e-36	1.0621722585532492e-35	0.45667074852708867
method	0.9953896648688083	1.0	55.68105231255282	1.0029218146081428e-13	1.1143575717868254e-13	0.45667074852708867
strain	62.42326362366957	4.0	872.9729496960188	0.0	0.0	0.45667074852708867
age	97.52405487649398	3.0	1818.4643973995971	0.0	0.0	0.45667074852708867
treatment	2.6795701365767153	4.0	37.4730847164128	6.4119279706029425e-31	8.014909963253679e-31	0.45667074852708867
sex	86.28559431565527	2.0	2413.3627565557144	0.0	0.0	0.45667074852708867
genotype	60.24229575056315	4.0	842.4726867034246	0.0	0.0	0.45667074852708867
label	24.402943841470712	3.0	455.0250153529258	8.702452545302332e-261	1.4504087575503888e-260	0.45667074852708867
subsample_ref	0.5204917536704933	1.0	29.115761984728703	7.139112203958499e-08	7.139112203958499e-08	0.45667074852708867
Residual	87.5597420673801	4898.0				0.45667074852708867
