"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"	"key"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	0.0129332326195092	0.00241995281846144	Inf	1	-23.2372773570522	0	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	0.0481343822339438	0.00903690895291096	Inf	1	-16.1590754544074	0	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex seurat"	0.105319665437039	0.0177318605953734	Inf	1	-13.3685224428965	0	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	1.00000204610954	0.156663125745393	Inf	1	1.30605822226423e-05	1	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.030591258346939	0.00578819710667066	Inf	1	-18.4293951460671	0	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.108222603348771	0.0193369755415126	Inf	1	-12.4445519337401	0	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex scvi"	0.0426153076388497	0.00794063004559085	Inf	1	-16.9349764347889	0	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	3.72175956700379	0.661271002309794	Inf	1	7.39654936755454	3.96571664396106e-12	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex seurat"	8.14333651419595	1.38783709400047	Inf	1	12.3056267246736	0	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	77.3203479384639	14.4675069842472	Inf	1	23.23728340749	0	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	2.36532189955305	0.407184625625742	Inf	1	5.00102140223835	1.57072416946402e-05	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	8.36779222431382	1.54769371472336	Inf	1	11.4857704728619	0	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex scvi"	3.29502367216116	0.576629438663183	Inf	1	6.81378708585525	2.66127564430008e-10	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex seurat"	2.18803401122221	0.389687600497933	Inf	1	4.39643994596967	0.000294305585878729	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	20.7752130535157	3.90040841858288	Inf	1	16.1590828371733	0	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.635538609351184	0.117162677809488	Inf	1	-2.45879058371206	0.213362121286101	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	2.24834304142068	0.429377659421742	Inf	1	4.24240274364805	0.000584033838646025	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex scvi"	0.885340284035013	0.164345251200533	Inf	1	-0.656055331860599	0.998024251080367	"all"
"whole cortex seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	9.49492235813594	1.59858737547099	Inf	1	13.3685307894597	0	"all"
"whole cortex seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.290461028526782	0.051095738359321	Inf	1	-7.02784371785172	5.87713211430696e-11	"all"
"whole cortex seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.02756311368523	0.182224809282696	Inf	1	0.153324531742626	0.999999899222575	"all"
"whole cortex seurat / whole cortex scvi"	0.404628209385316	0.0712912016775569	Inf	1	-5.13530684554373	7.78617246288693e-06	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.0305911957540015	0.00578818647705422	Inf	1	-18.4294020957631	0	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.108222381913923	0.0193369408720835	Inf	1	-12.444560234192	0	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / whole cortex scvi"	0.0426152204434405	0.0079406155418942	Inf	1	-16.9349836969874	0	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	3.53769701531744	0.670669791682275	Inf	1	6.6646733901493	7.42368944095517e-10	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi) / whole cortex scvi"	1.3930550733005	0.253409921854708	Inf	1	1.82233071397445	0.604729577458453	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi) / whole cortex scvi"	0.393774556517668	0.0744710788975029	Inf	1	-4.9279361466981	2.28369821957397e-05	"all"
