metric	stat	class	family	global	subclass
weighted_f1	mean	0.7129396821300752	0.8158876325817911	0.9228369727626102	0.704991410491696
weighted_f1	std	0.14946278270892607	0.10899751933073717	0.06153629491025858	0.14280526248201106
weighted_precision	mean	0.88754750890784	0.907415963060766	0.9648051014825223	0.8896338513927396
weighted_precision	std	0.06585485935703067	0.04897087261380581	0.02287745324007812	0.06665284029132496
weighted_recall	mean	0.7333395438604325	0.8323547182150203	0.9141092634826559	0.7207278905034377
weighted_recall	std	0.13931700160114144	0.10319894367105142	0.07177535884263324	0.1288238674895646
overall_accuracy	mean	0.7333395438604325	0.8323547182150203	0.9141092634826559	0.7207278905034377
overall_accuracy	std	0.13931700160114144	0.10319894367105142	0.07177535884263324	0.1288238674895646
macro_f1	mean	0.565474915258203	0.7056326526230683	0.720044501907939	0.5893228308944148
macro_f1	std	0.14048137283731568	0.115970917629048	0.23822036487427856	0.11467534406450214
macro_precision	mean	0.8016312802801154	0.8695243915630629	0.8046509738739521	0.8271339995249269
macro_precision	std	0.13199299535812867	0.0886975350281933	0.16113471324748896	0.107780476716206
macro_recall	mean	0.6275563150499993	0.7414241209776641	0.8081434318466941	0.640225221666414
macro_recall	std	0.09956907248537417	0.09306663216053687	0.16731198064744304	0.08151507314760853
micro_f1	mean	0.7333395438604325	0.8323547182150203	0.9141092634826559	0.7207278905034377
micro_f1	std	0.13931700160114144	0.10319894367105142	0.07177535884263324	0.1288238674895646
micro_precision	mean	0.7333395438604325	0.8323547182150203	0.9141092634826559	0.7207278905034377
micro_precision	std	0.13931700160114144	0.10319894367105142	0.07177535884263324	0.1288238674895646
micro_recall	mean	0.7333395438604325	0.8323547182150203	0.9141092634826559	0.7207278905034377
micro_recall	std	0.13931700160114144	0.10319894367105142	0.07177535884263324	0.1288238674895646
