"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"	"key"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.85812157893258	0.0369841675998618	Inf	0.769304656250257	0.916457598487797	"class"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.784338550090447	0.0513719218583258	Inf	0.667274371786169	0.868342088267746	"class"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.747295316613375	0.0573488384206997	Inf	0.619878624522736	0.8428309877442	"class"
"whole cortex"	"seurat"	0.791217520721313	0.0501684626016096	Inf	0.676349194638959	0.872974183477249	"class"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.835760483104147	0.0416959263586973	Inf	0.737236182483036	0.902241296655397	"class"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.820457217317779	0.044742322645006	Inf	0.715884676869013	0.892329288742882	"class"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.755868726530564	0.0560422497600735	Inf	0.630629712301331	0.848823600989816	"class"
"whole cortex"	"scvi"	0.838740778637182	0.0410841498065294	Inf	0.741454418482234	0.904152133769736	"class"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.87949653199047	0.0210277776462357	Inf	0.831850334431867	0.915021096351476	"family"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.866279834064173	0.0229823180963654	Inf	0.814512831241737	0.905279467156525	"family"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.815686374801905	0.0298179011515131	Inf	0.750009755523026	0.867164591974958	"family"
"whole cortex"	"seurat"	0.85547343208159	0.0245257880807545	Inf	0.800496456836785	0.89724516763133	"family"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.908221492891289	0.0165427042999657	Inf	0.870245935819094	0.935901259847341	"family"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.893617980492535	0.0188627566936574	Inf	0.850603990320771	0.925334522491093	"family"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.84119588008118	0.026494706881087	Inf	0.782181187643972	0.886540742640077	"family"
"whole cortex"	"scvi"	0.903568069084657	0.0172895760206185	Inf	0.863962954106101	0.932543036574148	"family"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.953013022530717	0.0159657419316245	Inf	0.90977947460279	0.976073958238005	"global"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.95073179334283	0.0167112029890315	Inf	0.905569964025022	0.974893481427733	"global"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.910490418339865	0.0290500126204205	Inf	0.834933551715176	0.953392773712491	"global"
"whole cortex"	"seurat"	0.92739947774307	0.0239956822851599	Inf	0.863997795013181	0.962526423787157	"global"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.965572263389314	0.0118550705257201	Inf	0.933073420155927	0.982584558023601	"global"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.956345627466644	0.0148811945873685	Inf	0.915922466062612	0.977804920124138	"global"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.932836111420446	0.0223251431670369	Inf	0.873547828028425	0.965426712986248	"global"
"whole cortex"	"scvi"	0.966254172076588	0.0116274856708967	Inf	0.934358876991835	0.982934473502205	"global"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.833321826119983	0.03744227620303	Inf	0.746684795126522	0.894513930316162	"subclass"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.778698218804226	0.0464480109604094	Inf	0.674765768701419	0.856481967174447	"subclass"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.715606987913164	0.0548491239944243	Inf	0.597375732160104	0.810153131061289	"subclass"
"whole cortex"	"seurat"	0.773151991778341	0.0472714520657305	Inf	0.667730017801311	0.852513798078664	"subclass"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.819186615414316	0.0399294038314132	Inf	0.727601889659376	0.884852135775496	"subclass"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.80699748264064	0.0419846999597246	Inf	0.711419639826461	0.876418814080298	"subclass"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.739730836528446	0.0518933667905569	Inf	0.62628003711946	0.828189409524066	"subclass"
"whole cortex"	"scvi"	0.82187481809705	0.0394639607098215	Inf	0.731207254543308	0.886697908683502	"subclass"
