"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"	"key"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	1.66303517906306	0.0323091539729303	Inf	1	26.1812319499927	0	"class"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	2.0452834626061	0.0392173359623731	Inf	1	37.3170363151046	0	"class"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex seurat"	1.59599171047214	0.030931542988444	Inf	1	24.1216104822861	0	"class"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	1.18857968387865	0.0267107575778483	Inf	1	7.68746067992242	4.67181848762266e-13	"class"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	1.32356260588556	0.0293722931336923	Inf	1	12.6319859427584	0	"class"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.95348245925852	0.0427627059356121	Inf	1	30.5892366611208	0	"class"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex scvi"	1.16286493916266	0.0259685352070056	Inf	1	6.75667275628512	3.95233623606828e-10	"class"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	1.22984978811958	0.022650886959459	Inf	1	11.2333848163486	1.59872115546023e-14	"class"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex seurat"	0.959686079143144	0.0178911558310489	Inf	1	-2.20724528710854	0.347171519784501	"class"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.714705075901216	0.0156359192425067	Inf	1	-15.3530423759209	0	"class"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.795871682420599	0.0171725619431516	Inf	1	-10.5814893280253	7.50510764646606e-14	"class"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.1746489093268	0.02496259882577	Inf	1	7.57462861890855	1.05881969858501e-12	"class"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex scvi"	0.699242537862494	0.0151959293254244	Inf	1	-16.4622603727242	0	"class"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex seurat"	0.780327881025608	0.014332982482334	Inf	1	-13.5040544650541	0	"class"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.581132007181129	0.0125681619486188	Inf	1	-25.0971690981569	0	"class"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.647129177976665	0.0137975863859393	Inf	1	-20.4120242092895	0	"class"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.955115755333682	0.0200432285247324	Inf	1	-2.18834648806442	0.358695619298087	"class"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex scvi"	0.568559302621522	0.0122132046346918	Inf	1	-26.2860424295851	0	"class"
"whole cortex seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.744727980778195	0.0162275466140095	Inf	1	-13.526279747528	0	"class"
"whole cortex seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.829304185730394	0.0178205993830053	Inf	1	-8.71011228693778	6.47260023356466e-14	"class"
"whole cortex seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.22399286064	0.0259032765097669	Inf	1	9.55058402965158	6.45039577307216e-14	"class"
"whole cortex seurat / whole cortex scvi"	0.728615901656939	0.0157692605823477	Inf	1	-14.6288430759466	0	"class"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	1.11356657348072	0.0217980845564118	Inf	1	5.49516732295401	1.08585975067133e-06	"class"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.64354353835477	0.0318810637969933	Inf	1	25.6140190543735	0	"class"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / whole cortex scvi"	0.978365148702456	0.0191571398330366	Inf	1	-1.1170306127011	0.953337710310869	"class"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.47592750850762	0.028195129717119	Inf	1	20.3779455659062	0	"class"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi) / whole cortex scvi"	0.878587030180277	0.016958376125303	Inf	1	-6.70610064541954	5.59484791828879e-10	"class"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi) / whole cortex scvi"	0.595277901601454	0.0113890410654491	Inf	1	-27.1126138925302	0	"class"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	1.12660918513329	0.0198962061178261	Inf	1	6.75032136737633	4.12923584214298e-10	"family"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	1.64918288369607	0.0282627711190155	Inf	1	29.1922230833411	0	"family"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex seurat"	1.23303597749888	0.0215438455991768	Inf	1	11.9893005520567	0	"family"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.737536977850208	0.0150245404602997	Inf	1	-14.9445541687808	0	"family"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.868862227600835	0.0174678469276293	Inf	1	-6.99207971330771	7.58714202575561e-11	"family"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.37784134916396	0.0268268954467143	Inf	1	16.4619496238196	0	"family"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex scvi"	0.778923081637644	0.0156342186732105	Inf	1	-12.4475975620447	0	"family"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	1.46384647441069	0.0248377750075875	Inf	1	22.458709724201	0	"family"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex seurat"	1.09446646962407	0.0189530755397567	Inf	1	5.21256864020123	5.15690000058022e-06	"family"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.654652019158667	0.0133188083423311	Inf	1	-20.8235055257455	0	"family"
