"subsample_ref"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"	"key"
"500"	0.816165951876624	0.0455417820013269	Inf	0.710059071032615	0.889485609018272	"class"
"100"	0.811062764836992	0.0465133822257536	Inf	0.703081858240615	0.886133842558578	"class"
"50"	0.798174222176516	0.0488962906707579	Inf	0.685683184009464	0.877592838479356	"class"
"500"	0.881619117170288	0.0206804460900492	Inf	0.834723831178102	0.916538807643722	"family"
"100"	0.881699377792762	0.0206689362188869	Inf	0.834828297801543	0.916598537521904	"family"
"50"	0.870479298950548	0.0223404941128253	Inf	0.820072010489661	0.908343196427682	"family"
"500"	0.950310314854121	0.0168127882316688	Inf	0.904921965973723	0.974638433563374	"global"
"100"	0.946492945956966	0.018031281365607	Inf	0.897993422508852	0.972635812758969	"global"
"50"	0.93672725583102	0.0211010414929131	Inf	0.88049769585101	0.967476346362832	"global"
"500"	0.7986130695675	0.043327299776681	Inf	0.700491331710848	0.870530596435988	"subclass"
"100"	0.796654695842318	0.0436415773855805	Inf	0.697939104740881	0.869157308868604	"subclass"
"50"	0.784220216988655	0.0455871346625503	Inf	0.681879382040679	0.860378935056423	"subclass"
